lane,code,advance
prereq,Mas,ADVANCE_MASONRY
prereq,Pot,ADVANCE_POTTERY
prereq,Bro,ADVANCE_BRONZE_WORKING
prereq,Cer,ADVANCE_CEREMONIAL_BURIAL
prereq,Cur,ADVANCE_CURRENCY
prereq,Wri,ADVANCE_WRITING
prereq,CoL,ADVANCE_CODE_OF_LAWS
prereq,Cst,ADVANCE_CONSTRUCTION
prereq,Ban,ADVANCE_BANKING
prereq,MT,ADVANCE_COMMUNE_WITH_GODS
prereq,Uni,ADVANCE_UNIVERSITY
prereq,Tra,ADVANCE_TRADE
prereq,Eco,ADVANCE_ECONOMICS
prereq,San,ADVANCE_SANITATION
prereq,Sea,ADVANCE_SEAFARING
prereq,Feu,ADVANCE_FEUDALISM
prereq,Eng,ADVANCE_ENGINEERING
prereq,Inv,ADVANCE_INVENTION
prereq,Nav,ADVANCE_NAVIGATION
prereq,The,ADVANCE_THEOLOGY
prereq,Ast,ADVANCE_ASTRONOMY
prereq,Lit,ADVANCE_LITERACY
prereq,Dem,ADVANCE_DEMOCRACY
prereq,Pho,ADVANCE_PHILOSOPHY
prereq,Fli,ADVANCE_WIZARDRY
prereq,Rec,ADVANCE_NATURE_WIZARD
prereq,U1,ADVANCE_FORCES_OF_NATURE
prereq,U3,ADVANCE_SEA_LORE
prereq,X3,ADVANCE_ARTIFICING
prereq,X4,ADVANCE_LESSER_FAUNA_LORE
prereq,Ato,ADVANCE_ELDRITCH_LORE
prereq,CA,ADVANCE_HEALING
prereq,Cmb,ADVANCE_LESSER_ENCHANTMENTS
prereq,Cmp,ADVANCE_METAMORPHOSIS
prereq,E1,ADVANCE_RUNE_LORE
prereq,Min,ADVANCE_CHAOS_WIZARD
prereq,Mys,ADVANCE_MYSTICISM
prereq,NF,ADVANCE_GRAND_MASTERY
prereq,PT,ADVANCE_NATURE_ADEPT
prereq,Phy,ADVANCE_SORCERY_WIZARD
prereq,Plu,ADVANCE_NATURE_LORE
prereq,RR,ADVANCE_GREATER_ENCHANTMENTS
prereq,Rob,ADVANCE_DEATH_ADEPT
prereq,Too,ADVANCE_LIFE_WIZARD
unit,AFl,ADVANCE_ALCHEMY
unit,Alp,ADVANCE_ALPHABET
unit,Amp,ADVANCE_ANIMISM
unit,Ast,ADVANCE_ASTROLOGY
unit,Ato,ADVANCE_ELDRITCH_LORE
unit,Ban,ADVANCE_BANKING
unit,Bri,ADVANCE_BRIDGE_BUILDING
unit,Bro,ADVANCE_BRONZE_WORKING
unit,Cer,ADVANCE_CEREMONIAL_BURIAL
unit,Che,ADVANCE_GREATER_FAUNA_LORE
unit,Chi,ADVANCE_CHIVALRY
unit,CoL,ADVANCE_CODE_OF_LAWS
unit,Cmb,ADVANCE_LESSER_ENCHANTMENTS
unit,Cmp,ADVANCE_METAMORPHOSIS
unit,Cst,ADVANCE_CONSTRUCTION
unit,Cor,ADVANCE_PANTHEISM
unit,Cur,ADVANCE_CURRENCY
unit,E1,ADVANCE_RUNE_LORE
unit,Eng,ADVANCE_SEA_MASTERY
unit,Env,ADVANCE_SHAMANISM
