cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str,source
44,Alchemy,,Cmp,nil,0,3    ; AFl,ICON_ADVANCE_ALCHEMY,ADVANCE_ALCHEMY_GAMEPLAY,ADVANCE_ALCHEMY_HISTORICAL,ADVANCE_ALCHEMY_PREREQ,ADVANCE_ALCHEMY_STATISTICS,ADVANCE_ALCHEMY_PREREQ,base
44,Alphabet,,nil,nil,0,3    ; Alp,ICON_ADVANCE_ALPHABET,ADVANCE_ALPHABET_GAMEPLAY,ADVANCE_ALPHABET_HISTORICAL,ADVANCE_ALPHABET_PREREQ,ADVANCE_ALPHABET_STATISTICS,ADVANCE_ALPHABET_PREREQ,base
44,Animism,,Uni,no,0,3    ; Amp,ICON_ADVANCE_ANIMISM,ADVANCE_ANIMISM_GAMEPLAY,ADVANCE_ANIMISM_HISTORICAL,ADVANCE_ANIMISM_PREREQ,ADVANCE_ANIMISM_STATISTICS,ADVANCE_ANIMISM_PREREQ,base
44,Astrology,,Mys,Mat,0,3    ; Ast,ICON_ADVANCE_ASTROLOGY,ADVANCE_ASTROLOGY_GAMEPLAY,ADVANCE_ASTROLOGY_HISTORICAL,ADVANCE_ASTROLOGY_PREREQ,ADVANCE_ASTROLOGY_STATISTICS,ADVANCE_ASTROLOGY_PREREQ,base
44,Eldritch Lore,,Ast,nil,0,3    ; Ato,ICON_ADVANCE_ELDRITCH_LORE,ADVANCE_ELDRITCH_LORE_GAMEPLAY,ADVANCE_ELDRITCH_LORE_HISTORICAL,ADVANCE_ELDRITCH_LORE_PREREQ,ADVANCE_ELDRITCH_LORE_STATISTICS,ADVANCE_ELDRITCH_LORE_PREREQ,base
2,User Def Tech A,,no,no,0,0    ; Aut,ICON_ADVANCE_USER_DEF_TECH_A,ADVANCE_USER_DEF_TECH_A_GAMEPLAY,ADVANCE_USER_DEF_TECH_A_HISTORICAL,ADVANCE_USER_DEF_TECH_A_PREREQ,ADVANCE_USER_DEF_TECH_A_STATISTICS,ADVANCE_USER_DEF_TECH_A_PREREQ,base
10,Banking,,Rep,Tra,0,1    ; Ban,ICON_ADVANCE_BANKING,ADVANCE_BANKING_GAMEPLAY,ADVANCE_BANKING_HISTORICAL,ADVANCE_BANKING_PREREQ,ADVANCE_BANKING_STATISTICS,ADVANCE_BANKING_PREREQ,base
30,Bridge Building,,Iro,Cst,0,4    ; Bri,ICON_ADVANCE_BRIDGE_BUILDING,ADVANCE_BRIDGE_BUILDING_GAMEPLAY,ADVANCE_BRIDGE_BUILDING_HISTORICAL,ADVANCE_BRIDGE_BUILDING_PREREQ,ADVANCE_BRIDGE_BUILDING_STATISTICS,ADVANCE_BRIDGE_BUILDING_PREREQ,base
30,Bronze Working,,nil,nil,0,4    ; Bro,ICON_ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING_GAMEPLAY,ADVANCE_BRONZE_WORKING_HISTORICAL,ADVANCE_BRONZE_WORKING_PREREQ,ADVANCE_BRONZE_WORKING_STATISTICS,ADVANCE_BRONZE_WORKING_PREREQ,base
7,Ceremonial Burial,,nil,nil,0,2    ; Cer,ICON_ADVANCE_CEREMONIAL_BURIAL,ADVANCE_CEREMONIAL_BURIAL_GAMEPLAY,ADVANCE_CEREMONIAL_BURIAL_HISTORICAL,ADVANCE_CEREMONIAL_BURIAL_PREREQ,ADVANCE_CEREMONIAL_BURIAL_STATISTICS,ADVANCE_CEREMONIAL_BURIAL_PREREQ,base
44,Greater Fauna Lore,,X4,nil,0,3    ; Che,ICON_ADVANCE_GREATER_FAUNA_LORE,ADVANCE_GREATER_FAUNA_LORE_GAMEPLAY,ADVANCE_GREATER_FAUNA_LORE_HISTORICAL,ADVANCE_GREATER_FAUNA_LORE_PREREQ,ADVANCE_GREATER_FAUNA_LORE_STATISTICS,ADVANCE_GREATER_FAUNA_LORE_PREREQ,base
