dimension,concept_stem,member_name,member_source,member_code,group_size
advances.csv,ALCHEMY,Alchemy,base,AFl,2
advances.csv,ALCHEMY,Alchemy Haradrim,lotr,lotr:ADVANCE_ALCHEMY_HARADRIM,2
advances.csv,APPLIED_MATH,Applied Math,cradle,cradle:ADVANCE_APPLIED_MATH,2
advances.csv,APPLIED_MATH,Applied Math Isengard,lotr,lotr:ADVANCE_APPLIED_MATH_ISENGARD,2
advances.csv,AQUEDUCTS,Aqueducts,cradle,cradle:ADVANCE_AQUEDUCTS,2
advances.csv,AQUEDUCTS,Aqueducts Men,lotr,lotr:ADVANCE_AQUEDUCTS_MEN,2
advances.csv,ARCHERY,Archery,cradle,cradle:ADVANCE_ARCHERY,5
advances.csv,ARCHERY,Archery Elves,lotr,lotr:ADVANCE_ARCHERY_ELVES,5
advances.csv,ARCHERY,Archery Haradrim,lotr,lotr:ADVANCE_ARCHERY_HARADRIM,5
advances.csv,ARCHERY,Archery Isengard,lotr,lotr:ADVANCE_ARCHERY_ISENGARD,5
advances.csv,ARCHERY,Archery Orcs,lotr,lotr:ADVANCE_ARCHERY_ORCS,5
advances.csv,ARCHITECTURE,Architecture,cradle,cradle:ADVANCE_ARCHITECTURE,4
advances.csv,ARCHITECTURE,Architecture Dwarves,lotr,lotr:ADVANCE_ARCHITECTURE_DWARVES,4
advances.csv,ARCHITECTURE,Architecture Gondor,lotr,lotr:ADVANCE_ARCHITECTURE_GONDOR,4
advances.csv,ARCHITECTURE,Architecture Mordor,lotr,lotr:ADVANCE_ARCHITECTURE_MORDOR,4
advances.csv,ASTRONOMY,Astronomy,cradle,cradle:ADVANCE_ASTRONOMY,2
advances.csv,ASTRONOMY,Astronomy Isengard,lotr,lotr:ADVANCE_ASTRONOMY_ISENGARD,2
advances.csv,BARRACKS,Barracks,cradle,cradle:ADVANCE_BARRACKS,3
advances.csv,BARRACKS,Barracks Angmar,lotr,lotr:ADVANCE_BARRACKS_ANGMAR,3
advances.csv,BARRACKS,Barracks Orcs,lotr,lotr:ADVANCE_BARRACKS_ORCS,3
advances.csv,BRONZE_WORKING,Bronze Working,base,Bro,7
advances.csv,BRONZE_WORKING,Bronze Working Angmar,lotr,lotr:ADVANCE_BRONZE_WORKING_ANGMAR,7
advances.csv,BRONZE_WORKING,Bronze Working Arnor,lotr,lotr:ADVANCE_BRONZE_WORKING_ARNOR,7
advances.csv,BRONZE_WORKING,Bronze Working Dwarves,lotr,lotr:ADVANCE_BRONZE_WORKING_DWARVES,7
advances.csv,BRONZE_WORKING,Bronze Working Easterling,lotr,lotr:ADVANCE_BRONZE_WORKING_EASTERLING,7
advances.csv,BRONZE_WORKING,Bronze Working Haradrim,lotr,lotr:ADVANCE_BRONZE_WORKING_HARADRIM,7
advances.csv,BRONZE_WORKING,Bronze Working Orcs,lotr,lotr:ADVANCE_BRONZE_WORKING_ORCS,7
advances.csv,BUREAUCRACY,Bureaucracy,cradle,cradle:ADVANCE_BUREAUCRACY,3
advances.csv,BUREAUCRACY,Bureaucracy Easterling,lotr,lotr:ADVANCE_BUREAUCRACY_EASTERLING,3
advances.csv,BUREAUCRACY,Bureaucracy Men,lotr,lotr:ADVANCE_BUREAUCRACY_MEN,3
advances.csv,CHARIOTS,Chariots,cradle,cradle:ADVANCE_CHARIOTS,4
advances.csv,CHARIOTS,Chariots Easterling,lotr,lotr:ADVANCE_CHARIOTS_EASTERLING,4
advances.csv,CHARIOTS,Chariots Haradrim,lotr,lotr:ADVANCE_CHARIOTS_HARADRIM,4
advances.csv,CHARIOTS,Chariots Rohan,lotr,lotr:ADVANCE_CHARIOTS_ROHAN,4
advances.csv,CITY_STATE,City State,cradle,cradle:ADVANCE_CITY_STATE,7
advances.csv,CITY_STATE,City State Arnor,lotr,lotr:ADVANCE_CITY_STATE_ARNOR,7
advances.csv,CITY_STATE,City State Dwarves,lotr,lotr:ADVANCE_CITY_STATE_DWARVES,7
advances.csv,CITY_STATE,City State Easterling,lotr,lotr:ADVANCE_CITY_STATE_EASTERLING,7
advances.csv,CITY_STATE,City State Gondor,lotr,lotr:ADVANCE_CITY_STATE_GONDOR,7
advances.csv,CITY_STATE,City State Haradrim,lotr,lotr:ADVANCE_CITY_STATE_HARADRIM,7
advances.csv,CITY_STATE,City State Isengard,lotr,lotr:ADVANCE_CITY_STATE_ISENGARD,7
advances.csv,CIVIC_ENGINEERING,Civic Engineering,cradle,cradle:ADVANCE_CIVIC_ENGINEERING,3
advances.csv,CIVIC_ENGINEERING,Civic Engineering Hobbits,lotr,lotr:ADVANCE_CIVIC_ENGINEERING_HOBBITS,3
advances.csv,CIVIC_ENGINEERING,Civic Engineering Mordor,lotr,lotr:ADVANCE_CIVIC_ENGINEERING_MORDOR,3
advances.csv,COMPOSITE_BOW,Composite Bow,cradle,cradle:ADVANCE_COMPOSITE_BOW,3
advances.csv,COMPOSITE_BOW,Composite Bow Elves,lotr,lotr:ADVANCE_COMPOSITE_BOW_ELVES,3
advances.csv,COMPOSITE_BOW,Composite Bow Orcs,lotr,lotr:ADVANCE_COMPOSITE_BOW_ORCS,3
advances.csv,CONCRETE,Concrete,cradle,cradle:ADVANCE_CONCRETE,3
advances.csv,CONCRETE,Concrete Evil,lotr,lotr:ADVANCE_CONCRETE_EVIL,3
