dimension,name,kept_source,dropped_source,dropped_code
advances.csv,Writing,base,midgard,Alp
advances.csv,Astrology,base,midgard,Ast
advances.csv,Banking,base,midgard,Ban
advances.csv,Bridge Building,base,midgard,Bri
advances.csv,Bronze Working,base,midgard,Bro
advances.csv,Ceremonial Burial,base,midgard,Cer
advances.csv,Alchemy,base,midgard,Che 10
advances.csv,Chivalry,base,midgard,Chi
advances.csv,Construction,base,midgard,Cst
advances.csv,Nature Lore,base,midgard,Env
advances.csv,Iron Working,base,midgard,Iro
advances.csv,Map Making,base,midgard,Map
advances.csv,Masonry,base,midgard,Mas
advances.csv,Mathematics,base,midgard,Mat
advances.csv,Monarchy,base,midgard,Mon
advances.csv,Mysticism,base,midgard,Mys
advances.csv,Navigation,base,midgard,Nav
advances.csv,Pottery,base,midgard,Pot
advances.csv,The Republic,base,midgard,Rep
advances.csv,Sanitation,base,midgard,San
advances.csv,Seafaring,base,midgard,Sea
advances.csv,Trade,base,midgard,Tra
advances.csv,Warrior Code,base,midgard,War
advances.csv,Alphabet,base,midgard,Wri
advances.csv,Sea Lore,base,midgard,X2
advances.csv,Alphabet,base,crusades,Alp
advances.csv,Banking,base,crusades,Ban
advances.csv,Bridge Building,base,crusades,Bri
advances.csv,Bronze Working,base,crusades,Bro
advances.csv,Ceremonial Burial,base,crusades,Cer
advances.csv,Code of Laws,base,crusades,CoL
advances.csv,Construction,base,crusades,Cst
advances.csv,Currency,base,crusades,Cur
advances.csv,Feudalism,base,crusades,Feu
advances.csv,Horseback Riding,midgard,crusades,Hor
advances.csv,Iron Working,base,crusades,Iro
advances.csv,Literacy,base,crusades,Lit
advances.csv,Map Making,base,crusades,Map
advances.csv,Masonry,base,crusades,Mas
advances.csv,Mathematics,base,crusades,Mat
advances.csv,Medicine,midgard,crusades,Med
advances.csv,Metallurgy,midgard,crusades,Met
advances.csv,Monarchy,base,crusades,Mon
advances.csv,Mysticism,base,crusades,Mys
advances.csv,Navigation,base,crusades,Nav
advances.csv,Philosophy,base,crusades,Phi
advances.csv,Polytheism,midgard,crusades,PT
advances.csv,Pottery,base,crusades,Pot
advances.csv,The Republic,base,crusades,Rep
advances.csv,Seafaring,base,crusades,Sea
advances.csv,Space Flight,midgard,crusades,SFl
advances.csv,Tactics,base,crusades,Tac
advances.csv,Theology,base,crusades,The
advances.csv,Trade,base,crusades,Tra
advances.csv,University,base,crusades,Uni
advances.csv,Warrior Code,base,crusades,War
advances.csv,The Wheel,midgard,crusades,Whe
advances.csv,Writing,base,crusades,Wri
advances.csv,Future Technology,base,crusades,...
advances.csv,Banking,base,cradle,ADVANCE_BANKING
advances.csv,Bronze Working,base,cradle,ADVANCE_BRONZE_WORKING
advances.csv,Ceremonial Burial,base,cradle,ADVANCE_CEREMONIAL_BURIAL
advances.csv,Chivalry,base,cradle,ADVANCE_CHIVALRY
advances.csv,Combined Arms,crusades,cradle,ADVANCE_COMBINED_ARMS
advances.csv,Communism,crusades,cradle,ADVANCE_COMMUNISM
advances.csv,Currency,base,cradle,ADVANCE_CURRENCY
advances.csv,Electricity,crusades,cradle,ADVANCE_ELECTRICITY
advances.csv,Explosives,crusades,cradle,ADVANCE_EXPLOSIVES
advances.csv,Feudalism,base,cradle,ADVANCE_FEUDALISM
advances.csv,Superconductor,crusades,cradle,ADVANCE_HT_SUPERCONDUCTOR
advances.csv,Iron Working,base,cradle,ADVANCE_IRON_WORKING
advances.csv,Machine Tools,crusades,cradle,ADVANCE_MACHINE_TOOLS
advances.csv,Map Making,base,cradle,ADVANCE_MAP_MAKING
advances.csv,Masonry,base,cradle,ADVANCE_MASONRY
advances.csv,Mass Production,crusades,cradle,ADVANCE_MASS_PRODUCTION
advances.csv,Monarchy,base,cradle,ADVANCE_MONARCHY
advances.csv,Monotheism,crusades,cradle,ADVANCE_MONOTHEISM
advances.csv,Nuclear Power,crusades,cradle,ADVANCE_NUCLEAR_POWER
advances.csv,Philosophy,base,cradle,ADVANCE_PHILOSOPHY
advances.csv,Physics,crusades,cradle,ADVANCE_PHYSICS
advances.csv,Plumbing,midgard,cradle,ADVANCE_PLUMBING
advances.csv,Polytheism,midgard,cradle,ADVANCE_POLYTHEISM
advances.csv,Pottery,base,cradle,ADVANCE_POTTERY
advances.csv,Railroad,crusades,cradle,ADVANCE_RAILROAD
advances.csv,Robotics,crusades,cradle,ADVANCE_ROBOTICS
advances.csv,Space Flight,midgard,cradle,ADVANCE_SPACE_FLIGHT
advances.csv,Theology,base,cradle,ADVANCE_THEOLOGY
advances.csv,Trade,base,cradle,ADVANCE_TRADE
advances.csv,Writing,base,cradle,ADVANCE_WRITING
advances.csv,Adv. Infantry Tactics,cradle,aom,ADVANCE_ADV_INFANTRY_TACTICS
advances.csv,Adv. Naval Tactics,cradle,aom,ADVANCE_ADV_NAVAL_TACTICS
advances.csv,Adv. Urban Planning,cradle,aom,ADVANCE_ADV_URBAN_PLANNING
advances.csv,Advanced Composites,cradle,aom,ADVANCE_ADVANCED_COMPOSITES
advances.csv,Aerodynamics,cradle,aom,ADVANCE_AERODYNAMICS
advances.csv,Age of Reason,cradle,aom,ADVANCE_AGE_OF_REASON
advances.csv,Agricultural Revolution,cradle,aom,ADVANCE_AGRICULTURAL_REVOLUTION
advances.csv,Agriculture,cradle,aom,ADVANCE_AGRICULTURE
advances.csv,AI Surveillance,cradle,aom,ADVANCE_AI_SURVEILLANCE
advances.csv,Alchemy,base,aom,ADVANCE_ALCHEMY
advances.csv,Arcologies,cradle,aom,ADVANCE_ARCOLOGIES
advances.csv,Ballistics,cradle,aom,ADVANCE_BALLISTICS
advances.csv,Banking,base,aom,ADVANCE_BANKING
advances.csv,Bronze Working,base,aom,ADVANCE_BRONZE_WORKING
advances.csv,Bureaucracy,cradle,aom,ADVANCE_BUREAUCRACY
advances.csv,Cannon Making,cradle,aom,ADVANCE_CANNON_MAKING
advances.csv,Cavalry Tactics,cradle,aom,ADVANCE_CAVALRY_TACTICS
advances.csv,Chaos Theory,cradle,aom,ADVANCE_CHAOS_THEORY
advances.csv,Chemistry,cradle,aom,ADVANCE_CHEMISTRY
advances.csv,Classical Education,cradle,aom,ADVANCE_CLASSICAL_EDUCATION
advances.csv,Communism,crusades,aom,ADVANCE_COMMUNISM
advances.csv,Computer,cradle,aom,ADVANCE_COMPUTER
advances.csv,Concrete,cradle,aom,ADVANCE_CONCRETE
advances.csv,Conservation,cradle,aom,ADVANCE_CONSERVATION
advances.csv,Corporate Republic,cradle,aom,ADVANCE_CORPORATE_REPUBLIC
advances.csv,Corporation,cradle,aom,ADVANCE_CORPORATION
advances.csv,Criminal Code,cradle,aom,ADVANCE_CRIMINAL_CODE
advances.csv,Cybernetics,cradle,aom,ADVANCE_CYBERNETICS
advances.csv,Democracy,cradle,aom,ADVANCE_DEMOCRACY
advances.csv,Digital Encryption,cradle,aom,ADVANCE_DIGITAL_ENCRYPTION
advances.csv,Drama,cradle,aom,ADVANCE_DRAMA
advances.csv,Economics,cradle,aom,ADVANCE_ECONOMICS
advances.csv,Ecotopia,cradle,aom,ADVANCE_ECOTOPIA
advances.csv,Electricity,crusades,aom,ADVANCE_ELECTRICITY
advances.csv,Gene Therapy,cradle,aom,ADVANCE_EUGENICS
advances.csv,Explosives,crusades,aom,ADVANCE_EXPLOSIVES
advances.csv,Fascism,cradle,aom,ADVANCE_FASCISM
advances.csv,Feudalism,base,aom,ADVANCE_FEUDALISM
advances.csv,Fuel Cells,cradle,aom,ADVANCE_FUEL_CELLS
advances.csv,Fusion,cradle,aom,ADVANCE_FUSION
advances.csv,Gaia Controller,cradle,aom,ADVANCE_GAIA_CONTROLLER
advances.csv,Gaia Theory,cradle,aom,ADVANCE_GAIA_THEORY
advances.csv,Genetic Tailoring,cradle,aom,ADVANCE_GENETIC_TAILORING
advances.csv,Genetics,cradle,aom,ADVANCE_GENETICS
advances.csv,Geometry,cradle,aom,ADVANCE_GEOMETRY
advances.csv,Global Communications,cradle,aom,ADVANCE_GLOBAL_COMMUNICATIONS
advances.csv,Global Defense,cradle,aom,ADVANCE_GLOBAL_DEFENSE
advances.csv,Global Economics,cradle,aom,ADVANCE_GLOBAL_ECONOMICS
advances.csv,Guided Weapon Systems,cradle,aom,ADVANCE_GUIDED_WEAPON_SYSTEMS
advances.csv,Gunpowder,cradle,aom,ADVANCE_GUNPOWDER
advances.csv,Horse Riding,cradle,aom,ADVANCE_HORSE_RIDING
advances.csv,Superconductor,crusades,aom,ADVANCE_HT_SUPERCONDUCTOR
advances.csv,Hullmaking,cradle,aom,ADVANCE_HULL_MAKING
advances.csv,Human Cloning,cradle,aom,ADVANCE_HUMAN_CLONING
advances.csv,Industrial Revolution,cradle,aom,ADVANCE_INDUSTRIAL_REVOLUTION
advances.csv,Internal Combustion,cradle,aom,ADVANCE_INTERNAL_COMBUSTION
advances.csv,Iron Working,base,aom,ADVANCE_IRON_WORKING
advances.csv,Jet Propulsion,cradle,aom,ADVANCE_JET_PROPULSION
advances.csv,Jurisprudence,cradle,aom,ADVANCE_JURISPRUDENCE
advances.csv,Life Extension,cradle,aom,ADVANCE_LIFE_EXTENSION
advances.csv,Fluid Breathing,cradle,aom,ADVANCE_LIQUID_BREATHING_APPARATUS
advances.csv,Masonry,base,aom,ADVANCE_MASONRY
advances.csv,Mass Media,cradle,aom,ADVANCE_MASS_MEDIA
advances.csv,Mass Production,crusades,aom,ADVANCE_MASS_PRODUCTION
advances.csv,Mass Transit,cradle,aom,ADVANCE_MASS_TRANSIT
advances.csv,Modern Medicine,cradle,aom,ADVANCE_MEDICINE
advances.csv,Modern Metallurgy,cradle,aom,ADVANCE_MODERN_METALLURGY
