dimension,id,name,source,mask,reason
unit,UNIT_PEASANTS,Peasants,base,,
unit,UNIT_ZOMBIES,Zombies,base,,
unit,UNIT_SPEARMEN,Spearmen,base,,
unit,UNIT_SWORDSMEN,Swordsmen,base,,
unit,UNIT_PHANTOM_WARRIORS,Phantom Warriors,base,,
unit,UNIT_HELL_HOUNDS,Hell Hounds,base,,
unit,UNIT_WARBEARS,Warbears,base,,
unit,UNIT_WARLOCK,Warlock,base,,
unit,UNIT_ARIEL,Ariel,base,,
unit,UNIT_JAFAR,Jafar,base,,
unit,UNIT_RJAK,Rjak,base,,
unit,UNIT_TAURON,Tauron,base,,
unit,UNIT_SERENA,Serena,base,,
unit,UNIT_FREYA,Freya,base,,
unit,UNIT_ALORRA,Alorra,base,,
unit,UNIT_CENTAURS,Centaurs,base,,
unit,UNIT_ELVEN_ARCHERS,Elven Archers,base,,
unit,UNIT_MAGE,Mage,base,,
unit,UNIT_WYVERN,Wyvern,base,,
unit,UNIT_KNIGHTS,Knights,base,,
unit,UNIT_PALADINS,Paladins,base,,
unit,UNIT_UNICORN,Unicorn,base,,
unit,UNIT_IRON_GOLEM,Iron Golem,base,,
unit,UNIT_CATAPULT,Catapult,base,,
unit,UNIT_STEAM_CANNON,Steam Cannon,base,,
unit,UNIT_B6,B6,base,,
unit,UNIT_B3,B3,base,,
unit,UNIT_B9,B9,base,,
unit,UNIT_EFREET,Efreet,base,,
unit,UNIT_WRAITH,Wraith,base,,
unit,UNIT_GRIFFIN,Griffin,base,,
unit,UNIT_PEGASUS,Pegasus,base,,
unit,UNIT_GALLEY,Galley,base,,
unit,UNIT_WARSHIP,Warship,base,,
unit,UNIT_HYDRA,Hydra,base,,
unit,UNIT_AIRSHIP,Airship,base,,
unit,UNIT_MINOTAUR,Minotaur,base,,
unit,UNIT_WAR_TROLL,War Troll,base,,
unit,UNIT_GARGOYLE,Gargoyle,base,,
unit,UNIT_GUARDIAN_SPIRIT,Guardian Spirit,base,,
unit,UNIT_COCKATRICE,Cockatrice,base,,
unit,UNIT_B7,B7,base,,
unit,UNIT_B8,B8,base,,
unit,UNIT_SALAMANDER,Salamander,base,,
unit,UNIT_INFERNAL_DEVICE,Infernal Device,base,,
unit,UNIT_MINION,Minion,base,,
unit,UNIT_DEMON,Demon,base,,
unit,UNIT_CARAVAN,Caravan,base,,
unit,UNIT_B5,B5,base,,
unit,UNIT_B4,B4,base,,
unit,UNIT_WAR_MAMMOTH,War Mammoth,base,,
unit,UNIT_STORM_GIANT,Storm Giant,base,,
unit,UNIT_AIR_ELEMENTAL,Air Elemental,base,,
unit,UNIT_STORM_DRAKE,Storm Drake,base,,
unit,UNIT_WARRAX,Warrax,base,,
unit,UNIT_UNDEAD_DRAGON,Undead Dragon,base,,
unit,UNIT_GREAT_WYRM,Great Wyrm,base,,
unit,UNIT_BEHEMOTH,Behemoth,base,,
unit,UNIT_MALLEUS,Malleus,base,,
unit,UNIT_MERFOLK,Merfolk,base,,
unit,UNIT_ARCHANGEL,Archangel,base,,
unit,UNIT_SETTLER,Settler,base,,
unit,UNIT_WIZARD_HERO_SETTLER,Wizard Hero (Settler),homm2,yes,redundant faction hero-settler
unit,UNIT_HALFLING,Halfling,homm2,,
unit,UNIT_NEUTRAL_HERO_SETTLER,Neutral Hero (Settler),homm2,yes,redundant faction hero-settler
