cell_index,name,cost,upkeep,prereq,icon,source
1,Wizard's Fortress,10,0,Mas,ICON_IMPROVE_WIZARDS_FORTRESS,base
2,Barracks,4,1,nil,ICON_IMPROVE_BARRACKS,base
3,Granary,6,1,Pot,ICON_IMPROVE_GRANARY,base
4,Temple,4,1,Cer,ICON_IMPROVE_TEMPLE,base
6,Library,8,1,Wri,ICON_IMPROVE_LIBRARY,base
7,Courthouse,8,1,CoL,ICON_IMPROVE_COURTHOUSE,base
8,City Walls,8,0,Mas,ICON_IMPROVE_CITY_WALLS,base
9,Aqueduct,8,2,Cst,ICON_IMPROVE_AQUEDUCT,base
11,Cathedral,12,3,MT,ICON_IMPROVE_CATHEDRAL,base
12,University,16,3,Uni,ICON_IMPROVE_UNIVERSITY,base
14,Colosseum,10,4,Cst,ICON_IMPROVE_COLOSSEUM,base
15,Mechanician's Guild,20,4,X3,ICON_IMPROVE_MECHANICIANS_GUILD,base
19,xPower Plant,16,4,no,ICON_IMPROVE_POWER_PLANT,base
20,xHydro Plant,24,4,no,ICON_IMPROVE_HYDRO_PLANT,base
21,Primal Source,16,2,U1,ICON_IMPROVE_PRIMAL_SOURCE,base
22,Merchant's Guild,16,4,Eco,ICON_IMPROVE_MERCHANTS_GUILD,base
26,Beacon of Wisdom,16,3,Fli,ICON_IMPROVE_BEACON_OF_WISDOM,base
28,Coastal Fortress,8,1,no,ICON_IMPROVE_COASTAL_FORTRESS,base
30,Harbor,6,1,Sea,ICON_IMPROVE_HARBOR,base
32,Fantastic Stable,16,3,X4,ICON_IMPROVE_FANTASTIC_STABLE,base
34,Port,8,3,U3,ICON_IMPROVE_PORT,base
40,Gaia's Shrine,20,0,PT,ICON_IMPROVE_GAIAS_SHRINE,base
41,Pleasure Dome,20,0,The,ICON_IMPROVE_PLEASURE_DOME,base
42,Font of Bounty,20,0,Plu,ICON_IMPROVE_FONT_OF_BOUNTY,base
44,Great Library,30,0,Lit,ICON_IMPROVE_GREAT_LIBRARY,base
