unit,source,kind,archive_path
Peasants,base,,
Zombies,base,pedia,COMM3/Art/Civilopedia/Icons/Units/ZombieLarge.pcx
Spearmen,base,,
Swordsmen,base,,
Phantom Warriors,base,,
Hell Hounds,base,pedia,COMM3/Art/Civilopedia/Icons/Units/HellHound_Large.pcx
Warbears,base,,
Warlock,base,,
Ariel,base,,
Jafar,base,,
Rjak,base,,
Tauron,base,,
Serena,base,,
Freya,base,,
Alorra,base,,
Centaurs,base,pedia,COMM3/Art/Civilopedia/Icons/Units/CentaurLarge.pcx
Elven Archers,base,,
Mage,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Mage-Large.pcx
Wyvern,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Wyvern-LG.pcx
Knights,base,pedia,COMM3/Art/Civilopedia/Icons/Units/BlackKnight-LG.pcx
Paladins,base,,
Unicorn,base,pedia,COMM3/Art/Civilopedia/Icons/Units/UnicornKLarge.pcx
Iron Golem,base,pedia,COMM3/Art/Civilopedia/Icons/Units/GolemIron_Large.pcx
Catapult,base,flc,COMM3/Art/Units/Catapult/CatapultDefault.flc
Steam Cannon,base,,
B6,base,,
B3,base,,
B9,base,,
Efreet,base,flc,COMM3/Art/Units/Efreet/EfreetDefault.flc
Wraith,base,,
Griffin,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Griffin-LG.pcx
Pegasus,base,flc,COMM3/Art/Units/Grey_Pegasus/GreyPegasusDefault.flc
Galley,base,,
Warship,base,,
Hydra,base,pedia,COMM3/Art/Civilopedia/Icons/Units/HydraB1_1-Lg.pcx
Airship,base,,
Minotaur,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Minotaur-LG.pcx
War Troll,base,,
Gargoyle,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Gargoyle-Large.pcx
Guardian Spirit,base,,
Cockatrice,base,,
B7,base,,
B8,base,,
Salamander,base,,
Infernal Device,base,,
Minion,base,,
Demon,base,pedia,COMM3/Art/Civilopedia/Icons/Units/DemonSettlerLG.pcx
Caravan,base,,
B5,base,,
B4,base,,
War Mammoth,base,,
Storm Giant,base,,
Air Elemental,base,pedia,COMM3/Art/Civilopedia/Icons/Units/AirElemental_Lg.pcx
Storm Drake,base,,
Warrax,base,,
Undead Dragon,base,,
Great Wyrm,base,flc,COMM3/Art/Units/AzureDragon/Default.flc
Behemoth,base,pedia,COMM3/Art/Civilopedia/Icons/Units/Behemoth-Large.pcx
Malleus,base,,
Merfolk,base,,
Archangel,base,flc,COMM3/Art/Units/Arch_Angel/AA_Run.flc
Settler,base,pedia,COMM3/Art/Civilopedia/Icons/Units/DemonSettlerLG.pcx
Halfling,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/HalflingHm4-Lg.pcx
Peasant,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/HobbitFarmhandLARGE.pcx
Water/Air Elementals,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/WaterElemental-Large.pcx
Nomad,homm2,,
Earth/Fire Elementals,homm2,flc,COMM3/Art/Units/FireElemental/Default.flc
Ghost,homm2,flc,COMM3/Art/Units/Shadow2-Wight-Brown/Default.flc
Skeleton,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Skeleton-Large.pcx
Centaur,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/CentaurLarge.pcx
Medusa,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/MedusaLarge.pcx
Faerie Sprite,homm2,flc,COMM3/Art/Units/ELFFAIRYB1/Default.flc
Goblin,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Dwarf,homm2,flc,COMM3/Art/Units/DwarfSettler/DwarfsettDefault.flc
Red Dragon,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/RedDragonLarge.pcx
Green Dragon,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/GreenDragonLarge.pcx
Archer,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Archer_LG.pcx
Siege Catapult,homm2,flc,COMM3/Art/Units/Catapult/CatapultDefault.flc
Genie,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/GenieLarge.pcx
Orc,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Orc-Large.pcx
Elf,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/ElvenBowmanLarge.pcx
Boar,homm2,flc,COMM3/Art/Units/BoarRider/BoarRiderDefault.flc
Wolf,homm2,,
Golem,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Golem-Large.pcx
Pikeman,homm2,flc,COMM3/Art/Units/AoK_Pikeman/Default.flc
Boat,homm2,flc,COMM3/Art/Units/Carrack2/CarrackSDefault.flc
Ship,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/GalleonLarge.pcx
Trade Cart,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Wagon-Large.pcx
Rogue Thief,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/DarkElfAssassinLarge1.pcx
Magic Arrow,homm2,,
Lightning Bolt,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/LightningBolt-Large.pcx
Armageddon Fire Blast,homm2,,
Ogre,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/OgreMage-Lg.pcx
Roc,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Roc-Large.pcx
Swordsman,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/ItalianFootKnightLarge.pcx
Zombie,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/ZombieLarge.pcx
Mummy,homm2,flc,COMM3/Art/Units/Mummy/Default.flc
Vampire,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/VampireLG.pcx
Druid,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Enchanter-Lg.pcx
Troll,homm2,,
Lich,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/UndeadLicheLarge.pcx
Cavalry,homm2,flc,COMM3/Art/Units/GenericKnight/Med_KnightDefault.flc
Bone Dragon,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/BoneDragon-Large.pcx
Black Dragon,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/BlackDragonLarge.pcx
Crusader,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Zealot-Large.pcx
Phoenix,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/PheonixRecolorLarge.pcx
Cyclops,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Cyclops-Large.pcx
Titan,homm2,pedia,COMM3/Art/Civilopedia/Icons/Units/Titan-LG.pcx
Settlers,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/DwarfSettlerLarge.pcx
Sorcerer,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/Archmage-Large.pcx
H. Warriors,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/WarriorsTomb-LG.pcx
Mermen,midgard,flc,COMM3/Art/Units/Sirens/Default.flc
Hawkmen,midgard,flc,COMM3/Art/Units/HarpyM7/Run.flc
Elf Warriors,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/WaywatcherLarge1.pcx
Infidels,midgard,,
Goblins,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/GoblinSpearmanLarge.pcx
Dwarves,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/LongbeardLarge1.pcx
Elf Archers,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/ElvenBowmanLarge.pcx
Trolls,midgard,,
Housecarls,midgard,pedia,COMM3/Art/Civilopedia/Icons/Units/SilverhelmLarge.pcx
