unit_id,name,cost,sphere,tier,gate_code,gate_advance,source
UNIT_PEASANTS,Peasants,4,starter,,nil,,base
UNIT_ZOMBIES,Zombies,4,death,lore,Rfg,,base
UNIT_SPEARMEN,Spearmen,1,starter,,nil,,base
UNIT_SWORDSMEN,Swordsmen,2,base,,Bro,,base
UNIT_PHANTOM_WARRIORS,Phantom Warriors,3,death,lore,Rfg,,base
UNIT_HELL_HOUNDS,Hell Hounds,6,chaos,adept,Med,,base
UNIT_WARBEARS,Warbears,4,nature,lore,Plu,,base
UNIT_WARLOCK,Warlock,12,sorcery,mage,NP,,base
UNIT_ARIEL,Ariel,4,life,lore,Inv,,base
UNIT_JAFAR,Jafar,6,sorcery,adept,X2,,base
UNIT_RJAK,Rjak,8,death,adept,Rob,,base
UNIT_TAURON,Tauron,5,chaos,adept,Med,,base
UNIT_SERENA,Serena,6,life,adept,Lab,,base
UNIT_FREYA,Freya,4,base,,Mys,,base
UNIT_ALORRA,Alorra,10,life,mage,Las,,base
UNIT_CENTAURS,Centaurs,2,nature,lore,Plu,,base
UNIT_ELVEN_ARCHERS,Elven Archers,3,nature,lore,Plu,,base
UNIT_MAGE,Mage,4,sorcery,lore,The,,base
UNIT_WYVERN,Wyvern,12,chaos,mage,Met,,base
UNIT_KNIGHTS,Knights,4,base,,Chi,,base
UNIT_PALADINS,Paladins,5,life,adept,Lab,,base
UNIT_UNICORN,Unicorn,6,nature,adept,PT,,base
UNIT_IRON_GOLEM,Iron Golem,9,sorcery,mage,NP,,base
UNIT_CATAPULT,Catapult,4,base,,Mat,,base
UNIT_STEAM_CANNON,Steam Cannon,12,base,,X3,,base
UNIT_B6,B6,9,base,,no,,base
UNIT_B3,B3,9,base,,no,,base
UNIT_B9,B9,9,base,,no,,base
UNIT_EFREET,Efreet,9,chaos,mage,Met,,base
UNIT_WRAITH,Wraith,6,death,adept,Rob,,base
UNIT_GRIFFIN,Griffin,6,nature,adept,PT,,base
UNIT_PEGASUS,Pegasus,8,nature,adept,PT,,base
UNIT_GALLEY,Galley,4,base,,Map,,base
UNIT_WARSHIP,Warship,8,base,,Eng,,base
UNIT_HYDRA,Hydra,12,chaos,mage,Met,,base
UNIT_AIRSHIP,Airship,4,base,,X3,,base
UNIT_MINOTAUR,Minotaur,3,chaos,lore,MP,,base
UNIT_WAR_TROLL,War Troll,7,chaos,adept,Med,,base
UNIT_GARGOYLE,Gargoyle,6,chaos,adept,Med,,base
UNIT_GUARDIAN_SPIRIT,Guardian Spirit,4,life,lore,Inv,,base
UNIT_COCKATRICE,Cockatrice,6,nature,adept,PT,,base
UNIT_B7,B7,9,base,,no,,base
UNIT_B8,B8,9,base,,no,,base
UNIT_SALAMANDER,Salamander,10,chaos,mage,Met,,base
UNIT_INFERNAL_DEVICE,Infernal Device,16,chaos,wizard,Min,,base
UNIT_MINION,Minion,3,death,lore,Rfg,,base
UNIT_DEMON,Demon,7,chaos,adept,Med,,base
UNIT_CARAVAN,Caravan,5,base,,Tra,,base
UNIT_B5,B5,9,base,,no,,base
UNIT_B4,B4,9,base,,no,,base
UNIT_WAR_MAMMOTH,War Mammoth,8,nature,adept,PT,,base
UNIT_STORM_GIANT,Storm Giant,9,sorcery,mage,NP,,base
UNIT_AIR_ELEMENTAL,Air Elemental,5,sorcery,adept,X2,,base
UNIT_STORM_DRAKE,Storm Drake,14,sorcery,mage,NP,,base
UNIT_WARRAX,Warrax,12,chaos,mage,Met,,base
UNIT_UNDEAD_DRAGON,Undead Dragon,3,death,master,SE,,base
UNIT_GREAT_WYRM,Great Wyrm,12,nature,mage,Rad,,base
UNIT_BEHEMOTH,Behemoth,9,nature,mage,Rad,,base
UNIT_MALLEUS,Malleus,10,death,mage,SFl,,base
UNIT_MERFOLK,Merfolk,5,sorcery,adept,X2,,base
UNIT_ARCHANGEL,Archangel,12,life,mage,Las,,base
UNIT_SETTLER,Settler,7,starter,,nil,,base
UNIT_HALFLING,Halfling,1,nature,lore,Plu,,homm2
UNIT_PEASANT,Peasant,1,starter,,nil,,homm2
UNIT_WATERAIR_ELEMENTALS,Water/Air Elementals,1,sorcery,lore,The,,homm2
UNIT_NOMAD,Nomad,2,gated,,homm2:ToG,,homm2
UNIT_EARTHFIRE_ELEMENTALS,Earth/Fire Elementals,3,chaos,lore,MP,,homm2
UNIT_GHOST,Ghost,4,death,lore,Rfg,,homm2
UNIT_SKELETON,Skeleton,1,death,lore,Rfg,,homm2
UNIT_CENTAUR,Centaur,1,nature,lore,Plu,,homm2
UNIT_MEDUSA,Medusa,5,chaos,adept,Med,,homm2
UNIT_FAERIE_SPRITE,Faerie Sprite,1,nature,lore,Plu,,homm2
UNIT_GOBLIN,Goblin,1,chaos,lore,MP,,homm2
UNIT_DWARF,Dwarf,2,nature,lore,Plu,,homm2
UNIT_RED_DRAGON,Red Dragon,99,chaos,master,Mob,,homm2
UNIT_GREEN_DRAGON,Green Dragon,99,chaos,master,Mob,,homm2
UNIT_ARCHER,Archer,2,gated,,homm2:ToG,,homm2
UNIT_SIEGE_CATAPULT,Siege Catapult,4,gated,,homm2:Ato,,homm2
UNIT_GENIE,Genie,7,sorcery,adept,X2,,homm2
UNIT_ORC,Orc,2,chaos,lore,MP,,homm2
UNIT_ELF,Elf,3,nature,lore,Plu,,homm2
UNIT_BOAR,Boar,2,nature,lore,Plu,,homm2
UNIT_WOLF,Wolf,3,nature,lore,Plu,,homm2
UNIT_GOLEM,Golem,3,sorcery,lore,The,,homm2
UNIT_PIKEMAN,Pikeman,3,gated,,homm2:Ast,,homm2
UNIT_BOAT,Boat,4,starter,,homm2:Sea,,homm2
UNIT_SHIP,Ship,5,gated,,homm2:NP,,homm2
UNIT_TRADE_CART,Trade Cart,5,gated,,homm2:Tra,,homm2
UNIT_ROGUE_THIEF,Rogue Thief,3,gated,,homm2:Wri,,homm2
UNIT_MAGIC_ARROW,Magic Arrow,5,gated,,homm2:Whe,,homm2
UNIT_LIGHTNING_BOLT,Lightning Bolt,6,gated,,homm2:Amp,,homm2
UNIT_ARMAGEDDON_FIRE_BLAST,Armageddon Fire Blast,16,chaos,wizard,Min,,homm2
UNIT_OGRE,Ogre,4,chaos,lore,MP,,homm2
UNIT_ROC,Roc,4,gated,,homm2:Plu,,homm2
UNIT_SWORDSMAN,Swordsman,4,gated,,homm2:Plu,,homm2
UNIT_ZOMBIE,Zombie,2,death,lore,Rfg,,homm2
UNIT_MUMMY,Mummy,3,death,lore,Rfg,,homm2
UNIT_VAMPIRE,Vampire,4,death,lore,Rfg,,homm2
UNIT_DRUID,Druid,4,gated,,homm2:Plu,,homm2
UNIT_TROLL,Troll,5,chaos,adept,Med,,homm2
UNIT_LICH,Lich,5,death,adept,Rob,,homm2
UNIT_CAVALRY,Cavalry,5,gated,,homm2:Stl,,homm2
UNIT_BONE_DRAGON,Bone Dragon,8,death,master,SE,,homm2
UNIT_BLACK_DRAGON,Black Dragon,10,chaos,master,Mob,,homm2
UNIT_CRUSADER,Crusader,7,life,adept,Lab,,homm2
UNIT_PHOENIX,Phoenix,8,gated,,homm2:NF,,homm2
UNIT_CYCLOPS,Cyclops,7,chaos,adept,Med,,homm2
