ADVANCE_ALCHEMY					"Alchemy"
ADVANCE_ALPHABET				"Alphabet"
ADVANCE_ANIMISM					"Animism"
ADVANCE_ASTROLOGY				"Astrology"
ADVANCE_ELDRITCH_LORE				"Eldritch Lore"
ADVANCE_USER_DEF_TECH_A				"User Def Tech A"
ADVANCE_BANKING					"Banking"
ADVANCE_BRIDGE_BUILDING				"Bridge Building"
ADVANCE_BRONZE_WORKING				"Bronze Working"
ADVANCE_CEREMONIAL_BURIAL			"Ceremonial Burial"
ADVANCE_GREATER_FAUNA_LORE			"Greater Fauna Lore"
ADVANCE_CHIVALRY				"Chivalry"
ADVANCE_CODE_OF_LAWS				"Code of Laws"
ADVANCE_HEALING					"Healing"
ADVANCE_LESSER_ENCHANMENTS			"Lesser Enchanments"
ADVANCE_METAMORPHOSIS				"Metamorphosis"
ADVANCE_CONSTRUCTION				"Construction"
ADVANCE_PANTHEISM				"Pantheism"
ADVANCE_CURRENCY				"Currency"
ADVANCE_RUNE_LORE				"Rune Lore"
ADVANCE_SEA_MASTERY				"Sea Mastery"
ADVANCE_SHAMANISM				"Shamanism"
ADVANCE_THAUMATURGY				"Thaumaturgy"
ADVANCE_TACTICS					"Tactics"
ADVANCE_FEUDALISM				"Feudalism"
ADVANCE_WIZARDRY				"Wizardry"
ADVANCE_GLYPHS					"Glyphs"
ADVANCE_LIFE_MAGIC				"Life Magic"
ADVANCE_CHAOS_MAGIC				"Chaos Magic"
ADVANCE_SORCERY					"Sorcery"
ADVANCE_LIFE_LORE				"Life Lore"
ADVANCE_IRON_WORKING				"Iron Working"
ADVANCE_LIFE_ADEPT				"Life Adept"
ADVANCE_LIFE_MAGE				"Life Mage"
ADVANCE_HOLY_WARRIORS				"Holy Warriors"
ADVANCE_LITERACY				"Literacy"
ADVANCE_LIFE_WIZARD				"Life Wizard"
ADVANCE_LIFE_MASTER				"Life Master"
ADVANCE_MAP_MAKING				"Map Making"
ADVANCE_MASONRY					"Masonry"
ADVANCE_CHAOS_LORE				"Chaos Lore"
ADVANCE_MATHEMATICS				"Mathematics"
ADVANCE_CHAOS_ADEPT				"Chaos Adept"
ADVANCE_CHAOS_MAGE				"Chaos Mage"
ADVANCE_CHAOS_WIZARD				"Chaos Wizard"
ADVANCE_CHAOS_MASTER				"Chaos Master"
ADVANCE_MONARCHY				"Monarchy"
ADVANCE_THEOLOGY				"Theology"
ADVANCE_MYSTICISM				"Mysticism"
ADVANCE_NAVIGATION				"Navigation"
ADVANCE_GRAND_MASTERY				"Grand Mastery"
ADVANCE_SORCERY_MAGE				"Sorcery Mage"
ADVANCE_PHILOSOPHY				"Philosophy"
ADVANCE_SORCERY_WIZARD				"Sorcery Wizard"
ADVANCE_SORCERY_MASTER				"Sorcery Master"
ADVANCE_NATURE_LORE				"Nature Lore"
ADVANCE_NATURE_ADEPT				"Nature Adept"
ADVANCE_POTTERY					"Pottery"
ADVANCE_NATURE_MAGE				"Nature Mage"
ADVANCE_GREATER_ENCHANTMENTS			"Greater Enchantments"
ADVANCE_NATURE_WIZARD				"Nature Wizard"
ADVANCE_NATURE_MASTER				"Nature Master"
ADVANCE_DEATH_LORE				"Death Lore"
ADVANCE_THE_REPUBLIC				"The Republic"
ADVANCE_DEATH_ADEPT				"Death Adept"
ADVANCE_SANITATION				"Sanitation"
ADVANCE_SEAFARING				"Seafaring"
ADVANCE_DEATH_MAGE				"Death Mage"
ADVANCE_DEATH_WIZARD				"Death Wizard"
ADVANCE_DEATH_MASTER				"Death Master"
ADVANCE_LEADERSHIP				"Leadership"
ADVANCE_SORCEROUS_LORE				"Sorcerous Lore"
ADVANCE_TRADE					"Trade"
ADVANCE_UNIVERSITY				"University"
ADVANCE_WARRIOR_CODE				"Warrior Code"
ADVANCE_WRITING					"Writing"
ADVANCE_FUTURE_TECHNOLOGY			"Future Technology"
ADVANCE_FORCES_OF_NATURE			"Forces of Nature"
ADVANCE_DEATH_MAGIC				"Death Magic"
ADVANCE_SEA_LORE				"Sea Lore"
ADVANCE_NATURE_MAGIC				"Nature Magic"
ADVANCE_SORCERY_ADEPT				"Sorcery Adept"
ADVANCE_ARTIFICING				"Artificing"
ADVANCE_LESSER_FAUNA_LORE			"Lesser Fauna Lore"
ADVANCE_PYROTECHNICS				"Pyrotechnics"
ADVANCE_OCCULT_STUDIES				"Occult Studies"
ADVANCE_ZZ_ADVANCED_FLIGHT			"zz Advanced Flight"
ADVANCE_KNOWLEDGE_LVL_1				"Knowledge Lvl. 1"
ADVANCE_CREATURES_LVL_6				"Creatures Lvl. 6"
