cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,Adv. Infantry Tactics,ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_NAVAL_AVIATION,ADVANCE_VERTICAL_FLIGHT_AIRCRAFT,5,0,ICON_ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_ADV_INFANTRY_TACTICS_GAMEPLAY,ADVANCE_ADV_INFANTRY_TACTICS_HISTORICAL,ADVANCE_ADV_INFANTRY_TACTICS_PREREQ,ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS,ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS
1,Adv. Naval Tactics,ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_EXPLOSIVES,ADVANCE_MASS_PRODUCTION,5,0,ICON_ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_ADV_NAVAL_TACTICS_GAMEPLAY,ADVANCE_ADV_NAVAL_TACTICS_HISTORICAL,ADVANCE_ADV_NAVAL_TACTICS_PREREQ,ADVANCE_ADV_NAVAL_TACTICS_STATISTICS,ADVANCE_ADV_NAVAL_TACTICS_STATISTICS
2,Adv. Urban Planning,ADVANCE_ADV_URBAN_PLANNING,ADVANCE_MASS_TRANSIT,ADVANCE_MODERN_METALLURGY,5,0,ICON_ADVANCE_ADV_URBAN_PLANNING,ADVANCE_ADV_URBAN_PLANNING_GAMEPLAY,ADVANCE_ADV_URBAN_PLANNING_HISTORICAL,ADVANCE_ADV_URBAN_PLANNING_PREREQ,ADVANCE_ADV_URBAN_PLANNING_STATISTICS,ADVANCE_ADV_URBAN_PLANNING_STATISTICS
3,Advanced Composites,ADVANCE_ADVANCED_COMPOSITES,ADVANCE_CONSERVATION,ADVANCE_SUPERSONIC_FLIGHT,6,0,ICON_ADVANCE_ADVANCED_COMPOSITES,ADVANCE_ADVANCED_COMPOSITES_GAMEPLAY,ADVANCE_ADVANCED_COMPOSITES_HISTORICAL,ADVANCE_ADVANCED_COMPOSITES_PREREQ,ADVANCE_ADVANCED_COMPOSITES_STATISTICS,ADVANCE_ADVANCED_COMPOSITES_STATISTICS
4,Aerodynamics,ADVANCE_AERODYNAMICS,ADVANCE_INTERNAL_COMBUSTION,ADVANCE_MASS_PRODUCTION,5,0,ICON_ADVANCE_AERODYNAMICS,ADVANCE_AERODYNAMICS_GAMEPLAY,ADVANCE_AERODYNAMICS_HISTORICAL,ADVANCE_AERODYNAMICS_PREREQ,ADVANCE_AERODYNAMICS_STATISTICS,ADVANCE_AERODYNAMICS_STATISTICS
5,Age of Reason,ADVANCE_AGE_OF_REASON,ADVANCE_VERNACULAR_PROSE,ADVANCE_NATIONALISM,3,0,ICON_ADVANCE_AGE_OF_REASON,ADVANCE_AGE_OF_REASON_GAMEPLAY,ADVANCE_AGE_OF_REASON_HISTORICAL,ADVANCE_AGE_OF_REASON_PREREQ,ADVANCE_AGE_OF_REASON_STATISTICS,ADVANCE_AGE_OF_REASON_STATISTICS
6,Agricultural Revolution,ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_DARK_AGES,nil,2,0,ICON_ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_AGRICULTURAL_REVOLUTION_GAMEPLAY,ADVANCE_AGRICULTURAL_REVOLUTION_HISTORICAL,ADVANCE_AGRICULTURAL_REVOLUTION_PREREQ,ADVANCE_AGRICULTURAL_REVOLUTION_STATISTICS,ADVANCE_AGRICULTURAL_REVOLUTION_STATISTICS
7,Agriculture,ADVANCE_AGRICULTURE,nil,nil,0,0,ICON_ADVANCE_AGRICULTURE,ADVANCE_AGRICULTURE_GAMEPLAY,ADVANCE_AGRICULTURE_HISTORICAL,ADVANCE_AGRICULTURE_PREREQ,ADVANCE_AGRICULTURE_STATISTICS,ADVANCE_AGRICULTURE_STATISTICS
8,AI Surveillance,ADVANCE_AI_SURVEILLANCE,ADVANCE_ARCOLOGIES,ADVANCE_ROBOTICS,6,0,ICON_ADVANCE_AI_SURVEILLANCE,ADVANCE_AI_SURVEILLANCE_GAMEPLAY,ADVANCE_AI_SURVEILLANCE_HISTORICAL,ADVANCE_AI_SURVEILLANCE_PREREQ,ADVANCE_AI_SURVEILLANCE_STATISTICS,ADVANCE_AI_SURVEILLANCE_STATISTICS
9,Alchemy,ADVANCE_ALCHEMY,ADVANCE_BALLISTICS,ADVANCE_PYTHAGORAS_THEORUM,1,0,ICON_ADVANCE_ALCHEMY,ADVANCE_ALCHEMY_GAMEPLAY,ADVANCE_ALCHEMY_HISTORICAL,ADVANCE_ALCHEMY_PREREQ,ADVANCE_ALCHEMY_STATISTICS,ADVANCE_ALCHEMY_STATISTICS
10,Arcologies,ADVANCE_ARCOLOGIES,ADVANCE_ADV_URBAN_PLANNING,ADVANCE_ADVANCED_COMPOSITES,6,0,ICON_ADVANCE_ARCOLOGIES,ADVANCE_ARCOLOGIES_GAMEPLAY,ADVANCE_ARCOLOGIES_HISTORICAL,ADVANCE_ARCOLOGIES_PREREQ,ADVANCE_ARCOLOGIES_STATISTICS,ADVANCE_ARCOLOGIES_STATISTICS
11,Ballistics,ADVANCE_BALLISTICS,ADVANCE_COMPOSITE_BOW,ADVANCE_WOOD_WORKING,1,0,ICON_ADVANCE_BALLISTICS,ADVANCE_BALLISTICS_GAMEPLAY,ADVANCE_BALLISTICS_HISTORICAL,ADVANCE_BALLISTICS_PREREQ,ADVANCE_BALLISTICS_STATISTICS,ADVANCE_BALLISTICS_STATISTICS
12,Banking,ADVANCE_BANKING,ADVANCE_CHIVALRY,ADVANCE_MILLS,2,0,ICON_ADVANCE_BANKING,ADVANCE_BANKING_GAMEPLAY,ADVANCE_BANKING_HISTORICAL,ADVANCE_BANKING_PREREQ,ADVANCE_BANKING_STATISTICS,ADVANCE_BANKING_STATISTICS
13,Bronze Working,ADVANCE_BRONZE_WORKING,ADVANCE_COPPER_SMELTING,nil,1,0,ICON_ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING_GAMEPLAY,ADVANCE_BRONZE_WORKING_HISTORICAL,ADVANCE_BRONZE_WORKING_PREREQ,ADVANCE_BRONZE_WORKING_STATISTICS,ADVANCE_BRONZE_WORKING_STATISTICS
14,Bureaucracy,ADVANCE_BUREAUCRACY,ADVANCE_OLIGARCHY,ADVANCE_JURISPRUDENCE,1,0,ICON_ADVANCE_BUREAUCRACY,ADVANCE_BUREAUCRACY_GAMEPLAY,ADVANCE_BUREAUCRACY_HISTORICAL,ADVANCE_BUREAUCRACY_PREREQ,ADVANCE_BUREAUCRACY_STATISTICS,ADVANCE_BUREAUCRACY_STATISTICS
15,Cannon Making,ADVANCE_CANNON_MAKING,ADVANCE_GUNPOWDER,ADVANCE_MACHINE_TOOLS,3,0,ICON_ADVANCE_CANNON_MAKING,ADVANCE_CANNON_MAKING_GAMEPLAY,ADVANCE_CANNON_MAKING_HISTORICAL,ADVANCE_CANNON_MAKING_PREREQ,ADVANCE_CANNON_MAKING_STATISTICS,ADVANCE_CANNON_MAKING_STATISTICS
16,Cavalry Tactics,ADVANCE_CAVALRY_TACTICS,ADVANCE_CHIVALRY,ADVANCE_FLINTLOCK,3,0,ICON_ADVANCE_CAVALRY_TACTICS,ADVANCE_CAVALRY_TACTICS_GAMEPLAY,ADVANCE_CAVALRY_TACTICS_HISTORICAL,ADVANCE_CAVALRY_TACTICS_PREREQ,ADVANCE_CAVALRY_TACTICS_STATISTICS,ADVANCE_CAVALRY_TACTICS_STATISTICS
17,Chaos Theory,ADVANCE_CHAOS_THEORY,ADVANCE_COMPUTER,ADVANCE_TECHNOCRACY,7,0,ICON_ADVANCE_CHAOS_THEORY,ADVANCE_CHAOS_THEORY_GAMEPLAY,ADVANCE_CHAOS_THEORY_HISTORICAL,ADVANCE_CHAOS_THEORY_PREREQ,ADVANCE_CHAOS_THEORY_STATISTICS,ADVANCE_CHAOS_THEORY_STATISTICS
18,Chemistry,ADVANCE_CHEMISTRY,ADVANCE_OPTICS,ADVANCE_ALCHEMY,3,0,ICON_ADVANCE_CHEMISTRY,ADVANCE_CHEMISTRY_GAMEPLAY,ADVANCE_CHEMISTRY_HISTORICAL,ADVANCE_CHEMISTRY_PREREQ,ADVANCE_CHEMISTRY_STATISTICS,ADVANCE_CHEMISTRY_STATISTICS
19,Classical Education,ADVANCE_CLASSICAL_EDUCATION,ADVANCE_GOTHIC_ARCHITECTURE,nil,2,0,ICON_ADVANCE_CLASSICAL_EDUCATION,ADVANCE_CLASSICAL_EDUCATION_GAMEPLAY,ADVANCE_CLASSICAL_EDUCATION_HISTORICAL,ADVANCE_CLASSICAL_EDUCATION_PREREQ,ADVANCE_CLASSICAL_EDUCATION_STATISTICS,ADVANCE_CLASSICAL_EDUCATION_STATISTICS
