cell_index,name,cost,upkeep,prereq,icon
0,Academy,5,1,ADVANCE_PHILOSOPHY,ICON_IMPROVE_ACADEMY
1,Agora,9,2,ADVANCE_CURRENCY,ICON_IMPROVE_AGORA
2,Airport,30,8,ADVANCE_AERODYNAMICS,ICON_IMPROVE_AIRPORT
3,Anti-Ballistic Missiles,50,15,ADVANCE_GLOBAL_COMMUNICATIONS,ICON_IMPROVE_ANTI_BALLISTIC_MISSILES
4,Apothecary,7,2,ADVANCE_HERBALISM,ICON_IMPROVE_APOTHECARY
5,Aqueduct,8,4,ADVANCE_CONCRETE,ICON_IMPROVE_AQUEDUCT
6,Arcologies,50,12,ADVANCE_ARCOLOGIES,ICON_IMPROVE_ARCOLOGIES
7,Arena,6,2,ADVANCE_MASONRY,ICON_IMPROVE_ARENA
8,Ballista Towers,5,2,ADVANCE_BALLISTICS,ICON_IMPROVE_BALLISTA_TOWERS
9,Bank,12,4,ADVANCE_BANKING,ICON_IMPROVE_BANK
10,Basilica,14,4,ADVANCE_THEOLOGY,ICON_IMPROVE_BASCILICA
11,Bath House,21,7,ADVANCE_PLUMBING,ICON_IMPROVE_BATH_HOUSE
12,Battlements,18,5,ADVANCE_NAVAL_TACTICS,ICON_IMPROVE_BATTLEMENTS
13,Bazaar,5,1,ADVANCE_TRADE,ICON_IMPROVE_BAZAAR
14,Behavioral Mod Center,45,18,ADVANCE_NEURAL_REPROGRAMMING,ICON_IMPROVE_BEHAVIORAL_MOD_CENTER
15,Body Exchange,75,15,ADVANCE_LIFE_EXTENSION,ICON_IMPROVE_BODY_EXCHANGE
16,Brokerage,16,4,ADVANCE_ECONOMICS,ICON_IMPROVE_BROKERAGE
17,Capitol,5,0,ADVANCE_FEUDALISM,ICON_IMPROVE_CAPITOL
18,Castle,26,6,ADVANCE_FEUDALISM,ICON_IMPROVE_CASTLE
19,City Clock,24,5,ADVANCE_MECHANICAL_CLOCK,ICON_IMPROVE_CITY_CLOCK
20,City Wall,4,2,ADVANCE_STONE_WORKING,ICON_IMPROVE_CITY_WALLS
21,Computer Center,24,6,ADVANCE_COMPUTER,ICON_IMPROVE_COMPUTER_CENTER
22,Conscripted Labor,23,7,ADVANCE_BLACK_SMITH,ICON_IMPROVE_CONSCRIPTED_LABOR
23,Correctional Facility,14,5,ADVANCE_CRIMINAL_CODE,ICON_IMPROVE_CORRECTIONAL_FACILITY
24,Courthouse,3,1,ADVANCE_JURISPRUDENCE,ICON_IMPROVE_COURTHOUSE
25,Craft Guild,28,10,ADVANCE_TRADE_GUILDS,ICON_IMPROVE_CRAFT_GUILD
26,Drug Store,14,5,ADVANCE_PHARMACEUTICALS,ICON_IMPROVE_DRUG_STORE
27,Eco-Transit,35,10,ADVANCE_FUEL_CELLS,ICON_IMPROVE_ECO_TRANSIT
28,Factory,20,8,ADVANCE_INDUSTRIAL_REVOLUTION,ICON_IMPROVE_FACTORY
29,Flak Towers,25,8,ADVANCE_RADAR,ICON_IMPROVE_FLAK_TOWERS
30,Food Silo,12,4,ADVANCE_RAILROAD,ICON_IMPROVE_FOOD_SILO
31,Forcefield,100,20,ADVANCE_UNIFIED_PHYSICS,ICON_IMPROVE_FORCEFIELD
32,Forge,5,2,ADVANCE_COPPER_SMELTING,ICON_IMPROVE_FORGE
33,Forum,10,4,ADVANCE_ETHICS,ICON_IMPROVE_FORUM
34,Fusion Plant,100,20,ADVANCE_FUSION,ICON_IMPROVE_FUSION_PLANT
35,Gaia Controller Core,75,25,ADVANCE_GAIA_CONTROLLER,ICON_IMPROVE_GAIA_COMPUTER
36,Granary,3,1,ADVANCE_AGRICULTURE,ICON_IMPROVE_GRANARY
37,Hospital,23,8,ADVANCE_MEDICINE,ICON_IMPROVE_HOSPITAL
38,Incubation Center,55,15,ADVANCE_HUMAN_CLONING,ICON_IMPROVE_INCUBATION_CENTER
39,Marketplace,11,8,ADVANCE_BUREAUCRACY,ICON_IMPROVE_MARKETPLACE
40,Mill,11,4,ADVANCE_AGRICULTURAL_REVOLUTION,ICON_IMPROVE_MILL
41,Monastery,22,4,ADVANCE_CHRISTIANITY,ICON_IMPROVE_MONASTERY
42,Mosque,20,4,ADVANCE_PERSPECTIVE,ICON_IMPROVE_MOSQUE
43,Movie Palace,15,5,ADVANCE_ELECTRICITY,ICON_IMPROVE_MOVIE_PALACE
44,Nuclear Plant,45,12,ADVANCE_NUCLEAR_POWER,ICON_IMPROVE_NUCLEAR_PLANT
45,Oil Refinery,35,8,ADVANCE_OIL_REFINING,ICON_IMPROVE_OIL_REFINERY
46,Orbital Laboratory,30,10,ADVANCE_SPACE_FLIGHT,ICON_IMPROVE_ORBITAL_LABORATORY
