cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Spearman Militia,0,1,3a,3d,13h,1f,1,ADVANCE_HEXTAPUL,ICON_UNIT_SPEARMAN_MILITIA,SPRITE_SPEARMAN,SOUND_SELECT1_SPEARMAN_MILITIA,SOUND_MOVE_SPEARMAN_MILITIA,SOUND_ATTACK_SPEARMAN_MILITIA
1,Hoplite Militia,0,1,3a,4d,14h,1f,2,ADVANCE_HEXTAPUL,ICON_UNIT_HOPLITE_MILITIA,SPRITE_HOPLITE,SOUND_SELECT1_HOPLITE_MILITIA,SOUND_MOVE_HOPLITE_MILITIA,SOUND_ATTACK_HOPLITE_MILITIA
2,Legion Militia,0,1,6a,5d,16h,2f,5,ADVANCE_HEXTAPUL,ICON_UNIT_LEGION_MILITIA,SPRITE_LEGION,SOUND_SELECT1_LEGION_MILITIA,SOUND_MOVE_LEGION_MILITIA,SOUND_ATTACK_LEGION_MILITIA
3,Man At Arms Militia,0,1,6a,6d,16h,2f,6,ADVANCE_HEXTAPUL,ICON_UNIT_MAN_AT_ARMS_MILITIA,SPRITE_MAN_AT_ARMS,SOUND_SELECT1_MAN_AT_ARMS_MILITIA,SOUND_MOVE_MAN_AT_ARMS_MILITIA,SOUND_ATTACK_MAN_AT_ARMS_MILITIA
4,Infantryman Militia,0,1,9a,8d,19h,3f,13,ADVANCE_HEXTAPUL,ICON_UNIT_INFANTRYMAN_MILITIA,SPRITE_ARQUEBUSIER,SOUND_SELECT1_INFANTRYMAN_MILITIA,SOUND_MOVE_INFANTRYMAN_MILITIA,SOUND_ATTACK_INFANTRYMAN_MILITIA
5,Machine Gunner Militia,0,1,12a,10d,21h,3f,17,ADVANCE_HEXTAPUL,ICON_UNIT_MACHINE_GUNNER_MILITIA,SPRITE_MACHINE_GUNNER,SOUND_SELECT1_MACHINE_GUNNER_MILITIA,SOUND_MOVE_MACHINE_GUNNER_MILITIA,SOUND_ATTACK_MACHINE_GUNNER_MILITIA
6,Hover Infantry Militia,0,1,14a,14d,26h,4f,33,ADVANCE_HEXTAPUL,ICON_UNIT_HOVER_INFANTRY_MILITIA,SPRITE_HOVER_INFANTRY,SOUND_SELECT1_HOVER_INFANTRY_MILITIA,SOUND_MOVE_HOVER_INFANTRY_MILITIA,SOUND_ATTACK_HOVER_INFANTRY_MILITIA
7,Abolitionist,0,3,0a,2d,10h,1f,5,ADVANCE_CLASSICAL_EDUCATION,ICON_UNIT_ABOLITIONIST,SPRITE_ABOLITIONIST,SOUND_SELECT1_ABOLITIONIST,SOUND_MOVE_ABOLITIONIST,SOUND_ATTACK_ABOLITIONIST
8,Advanced Warrior,0,1,4a,2d,10h,1f,2,ADVANCE_TRIBES,ICON_UNIT_ADVANCED_WARRIOR,SPRITE_ADVANCED_WARRIOR,SOUND_SELECT1_ADVANCED_WARRIOR,SOUND_MOVE_ADVANCED_WARRIOR,SOUND_ATTACK_ADVANCED_WARRIOR
9,Aircraft Carrier,2,4,5a,6d,10h,1f,30,ADVANCE_NAVAL_AVIATION,ICON_UNIT_AIRCRAFT_CARRIER,SPRITE_AIRCRAFT_CARRIER,SOUND_SELECT1_AIRCRAFT_CARRIER,SOUND_MOVE_AIRCRAFT_CARRIER,SOUND_ATTACK_AIRCRAFT_CARRIER
10,Archer,0,1,2a,2d,10h,1f,1,ADVANCE_BALLISTICS,ICON_UNIT_ARCHER,SPRITE_ARCHER,SOUND_SELECT1_ARCHER,SOUND_MOVE_ARCHER,SOUND_ATTACK_ARCHER
11,Arquebusier,0,1,9a,7d,18h,2f,9,ADVANCE_GUNPOWDER,ICON_UNIT_ARQUEBUSIER,SPRITE_ARQUEBUSIER,SOUND_SELECT1_ARQUEBUSIER,SOUND_MOVE_ARQUEBUSIER,SOUND_ATTACK_ARQUEBUSIER
12,Artillery,0,2,2a,4d,10h,3f,15,ADVANCE_EXPLOSIVES,ICON_UNIT_ARTILLERY,SPRITE_ARTILLERY,SOUND_SELECT1_ARTILLERY,SOUND_MOVE_ARTILLERY,SOUND_ATTACK_ARTILLERY
13,At Gun,0,2,11a,14d,22h,3f,18,ADVANCE_MILITARY_TRADITION,ICON_UNIT_AT_GUN,SPRITE_AT_GUN,SOUND_SELECT1_AT_GUN,SOUND_MOVE_AT_GUN,SOUND_ATTACK_AT_GUN
14,Attack Helicopter,1,10,10a,5d,20h,3f,24,ADVANCE_VERTICAL_FLIGHT_AIRCRAFT,ICON_UNIT_ATTACK_HELICOPTER,SPRITE_ATTACK_HELICOPTER,SOUND_SELECT1_ATTACK_HELICOPTER,SOUND_MOVE_ATTACK_HELICOPTER,SOUND_ATTACK_ATTACK_HELICOPTER
15,Auxilliary Legion,0,2,5a,4d,12h,1f,5,ADVANCE_IRON_WORKING,ICON_UNIT_AUXILLIARY_LEGION,SPRITE_AUXILLIARY_LEGION,SOUND_SELECT1_AUXILLIARY_LEGION,SOUND_MOVE_AUXILLIARY_LEGION,SOUND_ATTACK_AUXILLIARY_LEGION
16,Ballista,0,1,3a,3d,10h,1f,5,ADVANCE_PYTHAGORAS_THEORUM,ICON_UNIT_BALLISTA,SPRITE_BALLISTA,SOUND_SELECT1_BALLISTA,SOUND_MOVE_BALLISTA,SOUND_ATTACK_BALLISTA
17,Battleship,2,5,12a,10d,10h,4f,35,ADVANCE_ADV_NAVAL_TACTICS,ICON_UNIT_BATTLESHIP,SPRITE_BATTLESHIP,SOUND_SELECT1_BATTLESHIP,SOUND_MOVE_BATTLESHIP,SOUND_ATTACK_BATTLESHIP
18,Belfroi,0,1,2a,2d,10h,1f,5,ADVANCE_BALLISTICS,ICON_UNIT_BELFROI,SPRITE_BELFROI,SOUND_SELECT1_BELFROI,SOUND_MOVE_BELFROI,SOUND_ATTACK_BELFROI
19,Biplane,1,7,6a,4d,20h,2f,15,ADVANCE_FLIGHT,ICON_UNIT_BIPLANE,SPRITE_BIPLANE,SOUND_SELECT1_BIPLANE,SOUND_MOVE_BIPLANE,SOUND_ATTACK_BIPLANE
20,Bireme,2,2,2a,2d,10h,1f,2,ADVANCE_SAILS,ICON_UNIT_BIREME,SPRITE_BIREME,SOUND_SELECT1_BIREME,SOUND_MOVE_BIREME,SOUND_ATTACK_BIREME
