lane,code,advance
prereq,ADVANCE_ADVANCED_COMPOSITES,ADVANCE_ADVANCED_COMPOSITES
unit,ADVANCE_ADVANCED_COMPOSITES,ADVANCE_ADVANCED_COMPOSITES
prereq,ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_ADV_INFANTRY_TACTICS
unit,ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_ADV_INFANTRY_TACTICS
prereq,ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_ADV_NAVAL_TACTICS
unit,ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_ADV_NAVAL_TACTICS
prereq,ADVANCE_ADV_URBAN_PLANNING,ADVANCE_ADV_URBAN_PLANNING
unit,ADVANCE_ADV_URBAN_PLANNING,ADVANCE_ADV_URBAN_PLANNING
prereq,ADVANCE_AERODYNAMICS,ADVANCE_AERODYNAMICS
unit,ADVANCE_AERODYNAMICS,ADVANCE_AERODYNAMICS
prereq,ADVANCE_AGE_OF_DISCOVERY,ADVANCE_AGE_OF_DISCOVERY
unit,ADVANCE_AGE_OF_DISCOVERY,ADVANCE_AGE_OF_DISCOVERY
prereq,ADVANCE_AGE_OF_REASON,ADVANCE_AGE_OF_REASON
unit,ADVANCE_AGE_OF_REASON,ADVANCE_AGE_OF_REASON
prereq,ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_AGRICULTURAL_REVOLUTION
unit,ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_AGRICULTURAL_REVOLUTION
prereq,ADVANCE_AGRICULTURE,ADVANCE_AGRICULTURE
unit,ADVANCE_AGRICULTURE,ADVANCE_AGRICULTURE
prereq,ADVANCE_AI_SURVEILLANCE,ADVANCE_AI_SURVEILLANCE
unit,ADVANCE_AI_SURVEILLANCE,ADVANCE_AI_SURVEILLANCE
prereq,ADVANCE_APPLIED_MATH,ADVANCE_APPLIED_MATH
unit,ADVANCE_APPLIED_MATH,ADVANCE_APPLIED_MATH
prereq,ADVANCE_AQUEDUCTS,ADVANCE_AQUEDUCTS
unit,ADVANCE_AQUEDUCTS,ADVANCE_AQUEDUCTS
prereq,ADVANCE_ARCHERY,ADVANCE_ARCHERY
unit,ADVANCE_ARCHERY,ADVANCE_ARCHERY
prereq,ADVANCE_ARCHITECTURE,ADVANCE_ARCHITECTURE
unit,ADVANCE_ARCHITECTURE,ADVANCE_ARCHITECTURE
prereq,ADVANCE_ARCOLOGIES,ADVANCE_ARCOLOGIES
unit,ADVANCE_ARCOLOGIES,ADVANCE_ARCOLOGIES
prereq,ADVANCE_ASTROLABE,ADVANCE_ASTROLABE
unit,ADVANCE_ASTROLABE,ADVANCE_ASTROLABE
prereq,ADVANCE_ASTRONOMY,ADVANCE_ASTRONOMY
unit,ADVANCE_ASTRONOMY,ADVANCE_ASTRONOMY
prereq,ADVANCE_BALLISTA_TOWERS,ADVANCE_BALLISTA_TOWERS
unit,ADVANCE_BALLISTA_TOWERS,ADVANCE_BALLISTA_TOWERS
prereq,ADVANCE_BALLISTICS,ADVANCE_BALLISTICS
unit,ADVANCE_BALLISTICS,ADVANCE_BALLISTICS
prereq,ADVANCE_BANKING,ADVANCE_BANKING
unit,ADVANCE_BANKING,ADVANCE_BANKING
prereq,ADVANCE_BARRACKS,ADVANCE_BARRACKS
unit,ADVANCE_BARRACKS,ADVANCE_BARRACKS
prereq,ADVANCE_BIO_WARFARE,ADVANCE_BIO_WARFARE
unit,ADVANCE_BIO_WARFARE,ADVANCE_BIO_WARFARE
prereq,ADVANCE_BRICK_MAKING,ADVANCE_BRICK_MAKING
unit,ADVANCE_BRICK_MAKING,ADVANCE_BRICK_MAKING
prereq,ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING
unit,ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING
prereq,ADVANCE_BUDDHISM,ADVANCE_BUDDHISM
unit,ADVANCE_BUDDHISM,ADVANCE_BUDDHISM
prereq,ADVANCE_BUREAUCRACY,ADVANCE_BUREAUCRACY
unit,ADVANCE_BUREAUCRACY,ADVANCE_BUREAUCRACY
prereq,ADVANCE_CALIPHATE,ADVANCE_CALIPHATE
unit,ADVANCE_CALIPHATE,ADVANCE_CALIPHATE
prereq,ADVANCE_CANNON_MAKING,ADVANCE_CANNON_MAKING
unit,ADVANCE_CANNON_MAKING,ADVANCE_CANNON_MAKING
prereq,ADVANCE_CAVALRY_TACTICS,ADVANCE_CAVALRY_TACTICS
unit,ADVANCE_CAVALRY_TACTICS,ADVANCE_CAVALRY_TACTICS
prereq,ADVANCE_CEREMONIAL_BURIAL,ADVANCE_CEREMONIAL_BURIAL
unit,ADVANCE_CEREMONIAL_BURIAL,ADVANCE_CEREMONIAL_BURIAL
prereq,ADVANCE_CHAOS_THEORY,ADVANCE_CHAOS_THEORY
unit,ADVANCE_CHAOS_THEORY,ADVANCE_CHAOS_THEORY
prereq,ADVANCE_CHARIOTS,ADVANCE_CHARIOTS
unit,ADVANCE_CHARIOTS,ADVANCE_CHARIOTS
prereq,ADVANCE_CHEMISTRY,ADVANCE_CHEMISTRY
unit,ADVANCE_CHEMISTRY,ADVANCE_CHEMISTRY
prereq,ADVANCE_CHIVALRY,ADVANCE_CHIVALRY
unit,ADVANCE_CHIVALRY,ADVANCE_CHIVALRY
prereq,ADVANCE_CHRISTIANITY,ADVANCE_CHRISTIANITY
unit,ADVANCE_CHRISTIANITY,ADVANCE_CHRISTIANITY
prereq,ADVANCE_CHRONOMETER,ADVANCE_CHRONOMETER
