cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,Advanced Composites,ADVANCE_ADVANCED_COMPOSITES,ADVANCE_INTERNET,ADVANCE_JET_PROPULSION,5,0,ICON_ADVANCE_ADVANCED_COMPOSITES,ADVANCE_ADVANCED_COMPOSITES_GAMEPLAY,ADVANCE_ADVANCED_COMPOSITES_HISTORICAL,ADVANCE_ADVANCED_COMPOSITES_PREREQ,ADVANCE_ADVANCED_COMPOSITES_STATISTICS,ADVANCE_ADVANCED_COMPOSITES_STATISTICS
1,Adv. Infantry Tactics,ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_TANK_WARFARE,ADVANCE_VERTICAL_FLIGHT_AIRCRAFT,5,0,ICON_ADVANCE_ADV_INFANTRY_TACTICS,ADVANCE_ADV_INFANTRY_TACTICS_GAMEPLAY,ADVANCE_ADV_INFANTRY_TACTICS_HISTORICAL,ADVANCE_ADV_INFANTRY_TACTICS_PREREQ,ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS,ADVANCE_ADV_INFANTRY_TACTICS_STATISTICS
2,Adv. Naval Tactics,ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_RADIO_NAVIGATION,nil,5,0,ICON_ADVANCE_ADV_NAVAL_TACTICS,ADVANCE_ADV_NAVAL_TACTICS_GAMEPLAY,ADVANCE_ADV_NAVAL_TACTICS_HISTORICAL,ADVANCE_ADV_NAVAL_TACTICS_PREREQ,ADVANCE_ADV_NAVAL_TACTICS_STATISTICS,ADVANCE_ADV_NAVAL_TACTICS_STATISTICS
3,Adv. Urban Planning,ADVANCE_ADV_URBAN_PLANNING,ADVANCE_MASS_TRANSIT,ADVANCE_COMPUTER,5,0,ICON_ADVANCE_ADV_URBAN_PLANNING,ADVANCE_ADV_URBAN_PLANNING_GAMEPLAY,ADVANCE_ADV_URBAN_PLANNING_HISTORICAL,ADVANCE_ADV_URBAN_PLANNING_PREREQ,ADVANCE_ADV_URBAN_PLANNING_STATISTICS,ADVANCE_ADV_URBAN_PLANNING_STATISTICS
4,Aerodynamics,ADVANCE_AERODYNAMICS,ADVANCE_RADIO_NAVIGATION,nil,5,0,ICON_ADVANCE_AERODYNAMICS,ADVANCE_AERODYNAMICS_GAMEPLAY,ADVANCE_AERODYNAMICS_HISTORICAL,ADVANCE_AERODYNAMICS_PREREQ,ADVANCE_AERODYNAMICS_STATISTICS,ADVANCE_AERODYNAMICS_STATISTICS
5,Age of Discovery,ADVANCE_AGE_OF_DISCOVERY,ADVANCE_ASTROLABE,ADVANCE_CANNON_MAKING,3,0,ICON_ADVANCE_AGE_OF_DISCOVERY,ADVANCE_AGE_OF_DISCOVERY_GAMEPLAY,ADVANCE_AGE_OF_DISCOVERY_HISTORICAL,ADVANCE_AGE_OF_DISCOVERY_PREREQ,ADVANCE_AGE_OF_DISCOVERY_STATISTICS,ADVANCE_AGE_OF_DISCOVERY_STATISTICS
6,Age of Reason,ADVANCE_AGE_OF_REASON,ADVANCE_VERNACULAR_PROSE,ADVANCE_NATIONALISM,3,0,ICON_ADVANCE_AGE_OF_REASON,ADVANCE_AGE_OF_REASON_GAMEPLAY,ADVANCE_AGE_OF_REASON_HISTORICAL,ADVANCE_AGE_OF_REASON_PREREQ,ADVANCE_AGE_OF_REASON_STATISTICS,ADVANCE_AGE_OF_REASON_STATISTICS
7,Agricultural Revolution,ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_LATIFUNDIA,ADVANCE_CHEMISTRY,3,0,ICON_ADVANCE_AGRICULTURAL_REVOLUTION,ADVANCE_AGRICULTURAL_REVOLUTION_GAMEPLAY,ADVANCE_AGRICULTURAL_REVOLUTION_HISTORICAL,ADVANCE_AGRICULTURAL_REVOLUTION_PREREQ,ADVANCE_AGRICULTURAL_REVOLUTION_STATISTICS,ADVANCE_AGRICULTURAL_REVOLUTION_STATISTICS
8,Agriculture,ADVANCE_AGRICULTURE,nil,nil,0,0,ICON_ADVANCE_AGRICULTURE,ADVANCE_AGRICULTURE_GAMEPLAY,ADVANCE_AGRICULTURE_HISTORICAL,ADVANCE_AGRICULTURE_PREREQ,ADVANCE_AGRICULTURE_STATISTICS,ADVANCE_AGRICULTURE_STATISTICS
9,AI Surveillance,ADVANCE_AI_SURVEILLANCE,ADVANCE_ARCOLOGIES,ADVANCE_ROBOTICS,6,0,ICON_ADVANCE_AI_SURVEILLANCE,ADVANCE_AI_SURVEILLANCE_GAMEPLAY,ADVANCE_AI_SURVEILLANCE_HISTORICAL,ADVANCE_AI_SURVEILLANCE_PREREQ,ADVANCE_AI_SURVEILLANCE_STATISTICS,ADVANCE_AI_SURVEILLANCE_STATISTICS
