cell_index,name,cost,upkeep,prereq,icon
0,Academy,15,4,ADVANCE_COSMOLOGY,ICON_IMPROVE_ACADEMY
1,Agora,10,0,ADVANCE_CURRENCY,ICON_IMPROVE_AGORA
2,Airport,46,8,ADVANCE_AERODYNAMICS,ICON_IMPROVE_AIRPORT
3,Anti-Ballistic Missiles,64,15,ADVANCE_GLOBAL_COMMUNICATIONS,ICON_IMPROVE_ANTI_BALLISTIC_MISSILES
4,Apothecary,8,2,ADVANCE_HERBALISM,ICON_IMPROVE_APOTHECARY
5,Aqueduct,12,3,ADVANCE_AQUEDUCTS,ICON_IMPROVE_AQUEDUCT
6,Arcologies,75,10,ADVANCE_ARCOLOGIES,ICON_IMPROVE_ARCOLOGIES
7,Arena,12,4,ADVANCE_CONCRETE,ICON_IMPROVE_ARENA
8,Ballista Towers,13,3,ADVANCE_BALLISTA_TOWERS,ICON_IMPROVE_BALLISTA_TOWERS
9,Bank,22,0,ADVANCE_BANKING,ICON_IMPROVE_BANK
10,Basilica,21,5,ADVANCE_GOTHIC_ARCHITECTURE,ICON_IMPROVE_BASCILICA
11,Bath House,26,7,ADVANCE_PLUMBING,ICON_IMPROVE_BATH_HOUSE
12,Battlements,24,5,ADVANCE_COASTAL_FORTS,ICON_IMPROVE_BATTLEMENTS
13,Bazaar,6,0,ADVANCE_POTTERY,ICON_IMPROVE_BAZAAR
14,Behavioral Mod Center,75,20,ADVANCE_NEURAL_REPROGRAMMING,ICON_IMPROVE_BEHAVIORAL_MOD_CENTER
15,Body Exchange,100,18,ADVANCE_LIFE_EXTENSION,ICON_IMPROVE_BODY_EXCHANGE
16,Brokerage,34,0,ADVANCE_ECONOMICS,ICON_IMPROVE_BROKERAGE
17,Capitol,8,0,ADVANCE_ARCHITECTURE,ICON_IMPROVE_CAPITOL
18,Castle,28,6,ADVANCE_FEUDALISM,ICON_IMPROVE_CASTLE
19,City Clock,25,0,ADVANCE_MECHANICAL_CLOCK,ICON_IMPROVE_CITY_CLOCK
20,City Wall,13,3,ADVANCE_MASONRY,ICON_IMPROVE_CITY_WALLS
21,Computer Center,32,10,ADVANCE_COMPUTER,ICON_IMPROVE_COMPUTER_CENTER
22,Conscripted Labor,22,5,ADVANCE_CIVIC_ENGINEERING,ICON_IMPROVE_CONSCRIPTED_LABOR
23,Correctional Facility,29,5,ADVANCE_LEGAL_SYSTEM,ICON_IMPROVE_CORRECTIONAL_FACILITY
24,Courthouse,6,1,ADVANCE_JURISPRUDENCE,ICON_IMPROVE_COURTHOUSE
25,Craft Guild,25,8,ADVANCE_TRADE_GUILDS,ICON_IMPROVE_CRAFT_GUILD
26,Drug Store,28,8,ADVANCE_PHARMACEUTICALS,ICON_IMPROVE_DRUG_STORE
27,Dynastic House,4,1,ADVANCE_DYNASTY,ICON_IMPROVE_DYNASTY_BLDG
28,Eco-Transit,50,9,ADVANCE_FUEL_CELLS,ICON_IMPROVE_ECO_TRANSIT
29,Factory,38,10,ADVANCE_INDUSTRIAL_REVOLUTION,ICON_IMPROVE_FACTORY
30,Flak Towers,32,10,ADVANCE_RADAR,ICON_IMPROVE_FLAK_TOWERS
31,Food Imports,20,5,ADVANCE_HULL_MAKING,ICON_IMPROVE_FOOD_IMPORTS
32,Food Silo,25,5,ADVANCE_RAILROAD,ICON_IMPROVE_FOOD_SILO
33,Forcefield,125,21,ADVANCE_UNIFIED_PHYSICS,ICON_IMPROVE_FORCEFIELD
