cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Hurricane,1,12,20a,20d,10h,3f,11,ADVANCE_SUBNEURAL_ADS,ICON_UNIT_HURRICANE,SPRITE_HURRICANE,SOUND_SELECT1_HURRICANE,SOUND_MOVE_HURRICANE,SOUND_ATTACK_HURRICANE
1,Abolitionist,0,3,0a,2d,10h,1f,5,ADVANCE_CLASSICAL_EDUCATION,ICON_UNIT_ABOLITIONIST,SPRITE_ABOLITIONIST,SOUND_SELECT1_ABOLITIONIST,SOUND_MOVE_ABOLITIONIST,SOUND_ATTACK_ABOLITIONIST
2,Aircraft Carrier,2,12,6a,10d,20h,2f,35,ADVANCE_NAVAL_AVIATION,ICON_UNIT_AIRCRAFT_CARRIER,SPRITE_AIRCRAFT_CARRIER,SOUND_SELECT1_AIRCRAFT_CARRIER,SOUND_MOVE_AIRCRAFT_CARRIER,SOUND_ATTACK_AIRCRAFT_CARRIER
3,Ambassador,0,2,0a,2d,10h,1f,6,ADVANCE_AGE_OF_REASON,ICON_UNIT_AMBASSADOR,SPRITE_AMBASSADOR,SOUND_SELECT1_AMBASSADOR,SOUND_MOVE_AMBASSADOR,SOUND_ATTACK_AMBASSADOR
4,Archer,0,1,2a,2d,8h,1f,4,ADVANCE_ARCHERY,ICON_UNIT_ARCHER,SPRITE_ARCHER,SOUND_SELECT1_ARCHER,SOUND_MOVE_ARCHER,SOUND_ATTACK_ARCHER
5,Arquebusier,0,1,8a,7d,18h,2f,8,ADVANCE_GUNPOWDER,ICON_UNIT_ARQUEBUSIER,SPRITE_ARQUEBUSIER,SOUND_SELECT1_ARQUEBUSIER,SOUND_MOVE_ARQUEBUSIER,SOUND_ATTACK_ARQUEBUSIER
6,Elite Arquebusier,0,2,9a,8d,20h,2f,8,ADVANCE_HEXTAPUL,ICON_UNIT_ARQUEBUSIER_ELITE,SPRITE_ARQUEBUSIER_ELITE,SOUND_SELECT1_ARQUEBUSIER_ELITE,SOUND_MOVE_ARQUEBUSIER_ELITE,SOUND_ATTACK_ARQUEBUSIER_ELITE
7,Assassin,0,3,0a,2d,10h,1f,20,ADVANCE_MONARCHY,ICON_UNIT_ASSASSIN,SPRITE_ASSASSIN,SOUND_SELECT1_ASSASSIN,SOUND_MOVE_ASSASSIN,SOUND_ATTACK_ASSASSIN
8,Ballista,0,1,1a,1d,10h,1f,6,ADVANCE_BALLISTICS,ICON_UNIT_BALLISTA,SPRITE_BALLISTA,SOUND_SELECT1_BALLISTA,SOUND_MOVE_BALLISTA,SOUND_ATTACK_BALLISTA
9,Battleship,2,12,13a,11d,20h,4f,42,ADVANCE_ADV_NAVAL_TACTICS,ICON_UNIT_BATTLESHIP,SPRITE_BATTLESHIP,SOUND_SELECT1_BATTLESHIP,SOUND_MOVE_BATTLESHIP,SOUND_ATTACK_BATTLESHIP
10,Berzerker,0,1,4a,2d,10h,1f,2,ADVANCE_AGRICULTURE,ICON_UNIT_BERZERKER,SPRITE_BERZERKER,SOUND_SELECT1_BERZERKER,SOUND_MOVE_BERZERKER,SOUND_ATTACK_BERZERKER
11,Bireme,2,5,4a,2d,10h,1f,3,ADVANCE_OUTRIGGER,ICON_UNIT_BIREME,SPRITE_BIREME,SOUND_SELECT1_BIREME,SOUND_MOVE_BIREME,SOUND_ATTACK_BIREME
12,Bombard,0,1,2a,2d,11h,2f,11,ADVANCE_GUNPOWDER,ICON_UNIT_BOMBARD,SPRITE_BOMBARD,SOUND_SELECT1_BOMBARD,SOUND_MOVE_BOMBARD,SOUND_ATTACK_BOMBARD
