cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,Advanced Flight,AFl,Rad,Too,3,4,ICON_ADVANCE_ADVANCED_FLIGHT,ADVANCE_ADVANCED_FLIGHT_GAMEPLAY,ADVANCE_ADVANCED_FLIGHT_HISTORICAL,ADVANCE_ADVANCED_FLIGHT_PREREQ,ADVANCE_ADVANCED_FLIGHT_STATISTICS,ADVANCE_ADVANCED_FLIGHT_PREREQ
1,Alphabet,Alp,nil,nil,0,3,ICON_ADVANCE_ALPHABET,ADVANCE_ALPHABET_GAMEPLAY,ADVANCE_ALPHABET_HISTORICAL,ADVANCE_ALPHABET_PREREQ,ADVANCE_ALPHABET_STATISTICS,ADVANCE_ALPHABET_PREREQ
2,Amphibious Warfare,Amp,Nav,Tac,3,0,ICON_ADVANCE_AMPHIBIOUS_WARFARE,ADVANCE_AMPHIBIOUS_WARFARE_GAMEPLAY,ADVANCE_AMPHIBIOUS_WARFARE_HISTORICAL,ADVANCE_AMPHIBIOUS_WARFARE_PREREQ,ADVANCE_AMPHIBIOUS_WARFARE_STATISTICS,ADVANCE_AMPHIBIOUS_WARFARE_PREREQ
3,Special Technology,Ast,no,no,1,3,ICON_ADVANCE_SPECIAL_TECHNOLOGY,ADVANCE_SPECIAL_TECHNOLOGY_GAMEPLAY,ADVANCE_SPECIAL_TECHNOLOGY_HISTORICAL,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ,ADVANCE_SPECIAL_TECHNOLOGY_STATISTICS,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ
4,Atomic Theory,Ato,ToG,Phy,2,3,ICON_ADVANCE_ATOMIC_THEORY,ADVANCE_ATOMIC_THEORY_GAMEPLAY,ADVANCE_ATOMIC_THEORY_HISTORICAL,ADVANCE_ATOMIC_THEORY_PREREQ,ADVANCE_ATOMIC_THEORY_STATISTICS,ADVANCE_ATOMIC_THEORY_PREREQ
5,Automobile,Aut,Cmb,Stl,3,4,ICON_ADVANCE_AUTOMOBILE,ADVANCE_AUTOMOBILE_GAMEPLAY,ADVANCE_AUTOMOBILE_HISTORICAL,ADVANCE_AUTOMOBILE_PREREQ,ADVANCE_AUTOMOBILE_STATISTICS,ADVANCE_AUTOMOBILE_PREREQ
6,Banking,Ban,Tra,Rep,1,1,ICON_ADVANCE_BANKING,ADVANCE_BANKING_GAMEPLAY,ADVANCE_BANKING_HISTORICAL,ADVANCE_BANKING_PREREQ,ADVANCE_BANKING_STATISTICS,ADVANCE_BANKING_PREREQ
7,Bridge Building,Bri,Iro,Cst,0,4,ICON_ADVANCE_BRIDGE_BUILDING,ADVANCE_BRIDGE_BUILDING_GAMEPLAY,ADVANCE_BRIDGE_BUILDING_HISTORICAL,ADVANCE_BRIDGE_BUILDING_PREREQ,ADVANCE_BRIDGE_BUILDING_STATISTICS,ADVANCE_BRIDGE_BUILDING_PREREQ
8,Bronze Working,Bro,nil,nil,0,4,ICON_ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING_GAMEPLAY,ADVANCE_BRONZE_WORKING_HISTORICAL,ADVANCE_BRONZE_WORKING_PREREQ,ADVANCE_BRONZE_WORKING_STATISTICS,ADVANCE_BRONZE_WORKING_PREREQ
9,Ceremonial Burial,Cer,nil,nil,0,2,ICON_ADVANCE_CEREMONIAL_BURIAL,ADVANCE_CEREMONIAL_BURIAL_GAMEPLAY,ADVANCE_CEREMONIAL_BURIAL_HISTORICAL,ADVANCE_CEREMONIAL_BURIAL_PREREQ,ADVANCE_CEREMONIAL_BURIAL_STATISTICS,ADVANCE_CEREMONIAL_BURIAL_PREREQ
10,Special Technology,Che,no,no,1,3,ICON_ADVANCE_SPECIAL_TECHNOLOGY,ADVANCE_SPECIAL_TECHNOLOGY_GAMEPLAY,ADVANCE_SPECIAL_TECHNOLOGY_HISTORICAL,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ,ADVANCE_SPECIAL_TECHNOLOGY_STATISTICS,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ
11,Special Technology,Chi,no,no,1,0,ICON_ADVANCE_SPECIAL_TECHNOLOGY,ADVANCE_SPECIAL_TECHNOLOGY_GAMEPLAY,ADVANCE_SPECIAL_TECHNOLOGY_HISTORICAL,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ,ADVANCE_SPECIAL_TECHNOLOGY_STATISTICS,ADVANCE_SPECIAL_TECHNOLOGY_PREREQ
12,Code of Laws,CoL,Alp,nil,0,2,ICON_ADVANCE_CODE_OF_LAWS,ADVANCE_CODE_OF_LAWS_GAMEPLAY,ADVANCE_CODE_OF_LAWS_HISTORICAL,ADVANCE_CODE_OF_LAWS_PREREQ,ADVANCE_CODE_OF_LAWS_STATISTICS,ADVANCE_CODE_OF_LAWS_PREREQ
13,Combined Arms,CA,Mob,AFl,3,0,ICON_ADVANCE_COMBINED_ARMS,ADVANCE_COMBINED_ARMS_GAMEPLAY,ADVANCE_COMBINED_ARMS_HISTORICAL,ADVANCE_COMBINED_ARMS_PREREQ,ADVANCE_COMBINED_ARMS_STATISTICS,ADVANCE_COMBINED_ARMS_PREREQ
