cell_index,name,cost,upkeep,prereq,icon
1,Palace,10,0,Mas,ICON_IMPROVE_PALACE
2,Barracks,4,1,nil,ICON_IMPROVE_BARRACKS
3,Granary,6,1,Pot,ICON_IMPROVE_GRANARY
4,Temple,4,1,Cer,ICON_IMPROVE_TEMPLE
5,MarketPlace,8,1,Cur,ICON_IMPROVE_MARKETPLACE
6,Library,8,1,Wri,ICON_IMPROVE_LIBRARY
7,Courthouse,8,1,CoL,ICON_IMPROVE_COURTHOUSE
8,City Walls,8,0,Mas,ICON_IMPROVE_CITY_WALLS
9,Aqueduct,8,2,Cst,ICON_IMPROVE_AQUEDUCT
10,Bank,12,3,Ban,ICON_IMPROVE_BANK
11,Cathedral,12,3,MT,ICON_IMPROVE_CATHEDRAL
12,University,16,3,Uni,ICON_IMPROVE_UNIVERSITY
13,Mass Transit,16,4,MP,ICON_IMPROVE_MASS_TRANSIT
14,Colosseum,10,4,Cst,ICON_IMPROVE_COLOSSEUM
15,Factory,20,4,Ind,ICON_IMPROVE_FACTORY
16,Manufacturing Plant,32,6,Rob,ICON_IMPROVE_MANUFACTURING_PLANT
17,SDI Defense,20,4,Las,ICON_IMPROVE_SDI_DEFENSE
18,Recycling Center,20,2,Rec,ICON_IMPROVE_RECYCLING_CENTER
19,Power Plant,16,4,Ref,ICON_IMPROVE_POWER_PLANT
20,Hydro Plant,24,4,E2,ICON_IMPROVE_HYDRO_PLANT
21,Nuclear Plant,16,2,NP,ICON_IMPROVE_NUCLEAR_PLANT
22,Stock Exchange,16,4,Eco,ICON_IMPROVE_STOCK_EXCHANGE
23,Sewer System,12,2,San,ICON_IMPROVE_SEWER_SYSTEM
24,Supermarket,8,3,Rfg,ICON_IMPROVE_SUPERMARKET
25,Superhighways,20,5,Aut,ICON_IMPROVE_SUPERHIGHWAYS
26,Research Lab,16,3,Cmp,ICON_IMPROVE_RESEARCH_LAB
27,SAM Missile Battery,10,2,Roc,ICON_IMPROVE_SAM_MISSILE_BATTERY
28,Coastal Fortress,8,1,Met,ICON_IMPROVE_COASTAL_FORTRESS
29,Solar Plant,32,4,Env,ICON_IMPROVE_SOLAR_PLANT
30,Harbor,6,1,Sea,ICON_IMPROVE_HARBOR
31,Offshore Platform,16,3,Min,ICON_IMPROVE_OFFSHORE_PLATFORM
32,Airport,16,3,Rad,ICON_IMPROVE_AIRPORT
33,Police Station,6,2,Cmn,ICON_IMPROVE_POLICE_STATION
34,Port Facility,8,3,Amp,ICON_IMPROVE_PORT_FACILITY
35,SS Structural,8,0,SFl,ICON_IMPROVE_SS_STRUCTURAL
36,SS Component,16,0,Pla,ICON_IMPROVE_SS_COMPONENT
37,SS Module,32,0,Sup,ICON_IMPROVE_SS_MODULE
