civ2_index,civ2_tribe_name,civ2_leader_male,civ2_leader_female,civ2_type,ctp2_civ_id,ctp2_is_new,parchment,city_style,personality_male,personality_female,emissary_photo,nation_flag,notes
1,Romans,Caesar,Livia,civ2_leader,,,,,,,,,
2,Babylonians,Hammurabi,Ishtari,civ2_leader,,,,,,,,,
3,Germans,Frederick,Maria Theresa,civ2_leader,,,,,,,,,
4,Egyptians,Ramesses,Cleopatra,civ2_leader,,,,,,,,,
5,Americans,Abe Lincoln,E. Roosevelt,civ2_leader,,,,,,,,,
6,Greeks,Alexander,Hippolyta,civ2_leader,,,,,,,,,
7,Indians,Mohandas Gandhi,Indira Gandhi,civ2_leader,,,,,,,,,
8,Russians,Lenin,Catherine the Great,civ2_leader,,,,,,,,,
9,Zulus,Shaka,Shakala,civ2_leader,,,,,,,,,
10,French,Louis XIV,Joan of Arc,civ2_leader,,,,,,,,,
11,Aztecs,Montezuma,Nazca,civ2_leader,,,,,,,,,
12,Chinese,Mao Tse Tung,Wu Zhao,civ2_leader,,,,,,,,,
13,English,Henry VIII,Elizabeth I,civ2_leader,,,,,,,,,
14,Mongols,Genghis Khan,Bortei,civ2_leader,,,,,,,,,
15,Celts,Cunobelin,Boadicea,civ2_leader,,,,,,,,,
16,Japanese,Tokugawa,Amaterasu,civ2_leader,,,,,,,,,
17,Vikings,Canute,Gunnhild,civ2_leader,,,,,,,,,
18,Spanish,Philip II,Isabella,civ2_leader,,,,,,,,,
19,Persians,Xerxes,Scheherezade,civ2_leader,,,,,,,,,
20,Carthaginians,Hannibal,Dido,civ2_leader,,,,,,,,,
21,Sioux,Sitting Bull,Sacajawea,civ2_leader,,,,,,,,,
22,Arab,Saladin,,civ2_leader,,,,,,,,,
23,Inca,Atawallpa,,civ2_leader,,,,,,,,,
