cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Settlers,0,1,0a,1d,2h,1f,4,nil,ICON_UNIT_SETTLERS,SPRITE_SETTLERS,SOUND_SELECT1_SETTLERS,SOUND_MOVE_SETTLERS,SOUND_ATTACK_SETTLERS
1,Engineers,0,2,0a,2d,2h,1f,4,no,ICON_UNIT_ENGINEERS,SPRITE_ENGINEERS,SOUND_SELECT1_ENGINEERS,SOUND_MOVE_ENGINEERS,SOUND_ATTACK_ENGINEERS
2,Peasants,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_PEASANTS,SPRITE_PEASANTS,SOUND_SELECT1_PEASANTS,SOUND_MOVE_PEASANTS,SOUND_ATTACK_PEASANTS
3,Light Infantry,0,2,1a,2d,1h,1f,2,Bro,ICON_UNIT_LIGHT_INFANTRY,SPRITE_LIGHT_INFANTRY,SOUND_SELECT1_LIGHT_INFANTRY,SOUND_MOVE_LIGHT_INFANTRY,SOUND_ATTACK_LIGHT_INFANTRY
4,Archers,0,1,3a,2d,1h,1f,3,no,ICON_UNIT_ARCHERS,SPRITE_ARCHERS,SOUND_SELECT1_ARCHERS,SOUND_MOVE_ARCHERS,SOUND_ATTACK_ARCHERS
5,Legion,0,3,4a,2d,2h,1f,4,no,ICON_UNIT_LEGION,SPRITE_LEGION,SOUND_SELECT1_LEGION,SOUND_MOVE_LEGION,SOUND_ATTACK_LEGION
6,Heavy Infantry,0,2,2a,2d,2h,1f,3,Feu,ICON_UNIT_HEAVY_INFANTRY,SPRITE_HEAVY_INFANTRY,SOUND_SELECT1_HEAVY_INFANTRY,SOUND_MOVE_HEAVY_INFANTRY,SOUND_ATTACK_HEAVY_INFANTRY
7,Musketeers,0,3,4a,2d,2h,1f,4,no,ICON_UNIT_MUSKETEERS,SPRITE_MUSKETEERS,SOUND_SELECT1_MUSKETEERS,SOUND_MOVE_MUSKETEERS,SOUND_ATTACK_MUSKETEERS
8,Fanatics,0,1,4a,4d,2h,1f,2,no,ICON_UNIT_FANATICS,SPRITE_FANATICS,SOUND_SELECT1_FANATICS,SOUND_MOVE_FANATICS,SOUND_ATTACK_FANATICS
9,Partisans,0,1,4a,4d,2h,1f,5,no,ICON_UNIT_PARTISANS,SPRITE_PARTISANS,SOUND_SELECT1_PARTISANS,SOUND_MOVE_PARTISANS,SOUND_ATTACK_PARTISANS
10,Alpine Troops,0,1,5a,5d,2h,1f,5,no,ICON_UNIT_ALPINE_TROOPS,SPRITE_ALPINE_TROOPS,SOUND_SELECT1_ALPINE_TROOPS,SOUND_MOVE_ALPINE_TROOPS,SOUND_ATTACK_ALPINE_TROOPS
11,Riflemen,0,1,5a,4d,2h,1f,4,no,ICON_UNIT_RIFLEMEN,SPRITE_RIFLEMEN,SOUND_SELECT1_RIFLEMEN,SOUND_MOVE_RIFLEMEN,SOUND_ATTACK_RIFLEMEN
12,Marines,0,1,8a,5d,2h,1f,6,no,ICON_UNIT_MARINES,SPRITE_MARINES,SOUND_SELECT1_MARINES,SOUND_MOVE_MARINES,SOUND_ATTACK_MARINES
13,Paratroopers,0,1,6a,4d,2h,1f,6,no,ICON_UNIT_PARATROOPERS,SPRITE_PARATROOPERS,SOUND_SELECT1_PARATROOPERS,SOUND_MOVE_PARATROOPERS,SOUND_ATTACK_PARATROOPERS
