cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,zz Advanced Flight,AFl,no,no,3,4,ICON_ADVANCE_ZZ_ADVANCED_FLIGHT,ADVANCE_ZZ_ADVANCED_FLIGHT_GAMEPLAY,ADVANCE_ZZ_ADVANCED_FLIGHT_HISTORICAL,ADVANCE_ZZ_ADVANCED_FLIGHT_PREREQ,ADVANCE_ZZ_ADVANCED_FLIGHT_STATISTICS,ADVANCE_ZZ_ADVANCED_FLIGHT_PREREQ
1,Knowledge Lvl. 1,Alp,nil,nil,1,1,ICON_ADVANCE_KNOWLEDGE_LVL_1,ADVANCE_KNOWLEDGE_LVL_1_GAMEPLAY,ADVANCE_KNOWLEDGE_LVL_1_HISTORICAL,ADVANCE_KNOWLEDGE_LVL_1_PREREQ,ADVANCE_KNOWLEDGE_LVL_1_STATISTICS,ADVANCE_KNOWLEDGE_LVL_1_PREREQ
2,Creatures Lvl. 6,Amp,Stl,U1,3,3,ICON_ADVANCE_CREATURES_LVL_6,ADVANCE_CREATURES_LVL_6_GAMEPLAY,ADVANCE_CREATURES_LVL_6_HISTORICAL,ADVANCE_CREATURES_LVL_6_PREREQ,ADVANCE_CREATURES_LVL_6_STATISTICS,ADVANCE_CREATURES_LVL_6_PREREQ
3,Creatures Lvl. 2,Ast,ToG,War,1,3,ICON_ADVANCE_CREATURES_LVL_2,ADVANCE_CREATURES_LVL_2_GAMEPLAY,ADVANCE_CREATURES_LVL_2_HISTORICAL,ADVANCE_CREATURES_LVL_2_PREREQ,ADVANCE_CREATURES_LVL_2_STATISTICS,ADVANCE_CREATURES_LVL_2_PREREQ
4,Creatures Lvl. 4,Ato,Plu,Whe,3,3,ICON_ADVANCE_CREATURES_LVL_4,ADVANCE_CREATURES_LVL_4_GAMEPLAY,ADVANCE_CREATURES_LVL_4_HISTORICAL,ADVANCE_CREATURES_LVL_4_PREREQ,ADVANCE_CREATURES_LVL_4_STATISTICS,ADVANCE_CREATURES_LVL_4_PREREQ
5,Buildings Lvl. 1,Aut,nil,nil,0,4,ICON_ADVANCE_BUILDINGS_LVL_1,ADVANCE_BUILDINGS_LVL_1_GAMEPLAY,ADVANCE_BUILDINGS_LVL_1_HISTORICAL,ADVANCE_BUILDINGS_LVL_1_PREREQ,ADVANCE_BUILDINGS_LVL_1_STATISTICS,ADVANCE_BUILDINGS_LVL_1_PREREQ
6,Economy Lvl. 3,Ban,Tra,Wri,0,1,ICON_ADVANCE_ECONOMY_LVL_3,ADVANCE_ECONOMY_LVL_3_GAMEPLAY,ADVANCE_ECONOMY_LVL_3_HISTORICAL,ADVANCE_ECONOMY_LVL_3_PREREQ,ADVANCE_ECONOMY_LVL_3_STATISTICS,ADVANCE_ECONOMY_LVL_3_PREREQ
7,Buildings Lvl. 3,Bri,Cst,Ast,0,4,ICON_ADVANCE_BUILDINGS_LVL_3,ADVANCE_BUILDINGS_LVL_3_GAMEPLAY,ADVANCE_BUILDINGS_LVL_3_HISTORICAL,ADVANCE_BUILDINGS_LVL_3_PREREQ,ADVANCE_BUILDINGS_LVL_3_STATISTICS,ADVANCE_BUILDINGS_LVL_3_PREREQ
8,KNIGHT,Bro,nil,no,0,4,ICON_ADVANCE_KNIGHT,ADVANCE_KNIGHT_GAMEPLAY,ADVANCE_KNIGHT_HISTORICAL,ADVANCE_KNIGHT_PREREQ,ADVANCE_KNIGHT_STATISTICS,ADVANCE_KNIGHT_PREREQ
9,Happiness Lvl. 1,Cer,nil,nil,0,3,ICON_ADVANCE_HAPPINESS_LVL_1,ADVANCE_HAPPINESS_LVL_1_GAMEPLAY,ADVANCE_HAPPINESS_LVL_1_HISTORICAL,ADVANCE_HAPPINESS_LVL_1_PREREQ,ADVANCE_HAPPINESS_LVL_1_STATISTICS,ADVANCE_HAPPINESS_LVL_1_PREREQ
10,Knowledge Lvl. 7,Che,Phy,Cmn,3,1,ICON_ADVANCE_KNOWLEDGE_LVL_7,ADVANCE_KNOWLEDGE_LVL_7_GAMEPLAY,ADVANCE_KNOWLEDGE_LVL_7_HISTORICAL,ADVANCE_KNOWLEDGE_LVL_7_PREREQ,ADVANCE_KNOWLEDGE_LVL_7_STATISTICS,ADVANCE_KNOWLEDGE_LVL_7_PREREQ
11,zz Chivalry,Chi,no,no,1,0,ICON_ADVANCE_ZZ_CHIVALRY,ADVANCE_ZZ_CHIVALRY_GAMEPLAY,ADVANCE_ZZ_CHIVALRY_HISTORICAL,ADVANCE_ZZ_CHIVALRY_PREREQ,ADVANCE_ZZ_CHIVALRY_STATISTICS,ADVANCE_ZZ_CHIVALRY_PREREQ
12,Leadership Lvl. 1,CoL,nil,nil,0,2,ICON_ADVANCE_LEADERSHIP_LVL_1,ADVANCE_LEADERSHIP_LVL_1_GAMEPLAY,ADVANCE_LEADERSHIP_LVL_1_HISTORICAL,ADVANCE_LEADERSHIP_LVL_1_PREREQ,ADVANCE_LEADERSHIP_LVL_1_STATISTICS,ADVANCE_LEADERSHIP_LVL_1_PREREQ
13,zz Combined Arms,CA,no,no,3,0,ICON_ADVANCE_ZZ_COMBINED_ARMS,ADVANCE_ZZ_COMBINED_ARMS_GAMEPLAY,ADVANCE_ZZ_COMBINED_ARMS_HISTORICAL,ADVANCE_ZZ_COMBINED_ARMS_PREREQ,ADVANCE_ZZ_COMBINED_ARMS_STATISTICS,ADVANCE_ZZ_COMBINED_ARMS_PREREQ
14,zz Combustion,Cmb,no,no,2,4,ICON_ADVANCE_ZZ_COMBUSTION,ADVANCE_ZZ_COMBUSTION_GAMEPLAY,ADVANCE_ZZ_COMBUSTION_HISTORICAL,ADVANCE_ZZ_COMBUSTION_PREREQ,ADVANCE_ZZ_COMBUSTION_STATISTICS,ADVANCE_ZZ_COMBUSTION_PREREQ
15,Leadership Lvl. 6,Cmn,Dem,Ref,2,2,ICON_ADVANCE_LEADERSHIP_LVL_6,ADVANCE_LEADERSHIP_LVL_6_GAMEPLAY,ADVANCE_LEADERSHIP_LVL_6_HISTORICAL,ADVANCE_LEADERSHIP_LVL_6_PREREQ,ADVANCE_LEADERSHIP_LVL_6_STATISTICS,ADVANCE_LEADERSHIP_LVL_6_PREREQ
16,zz Computers,Cmp,no,no,3,4,ICON_ADVANCE_ZZ_COMPUTERS,ADVANCE_ZZ_COMPUTERS_GAMEPLAY,ADVANCE_ZZ_COMPUTERS_HISTORICAL,ADVANCE_ZZ_COMPUTERS_PREREQ,ADVANCE_ZZ_COMPUTERS_STATISTICS,ADVANCE_ZZ_COMPUTERS_PREREQ
17,zz Conscription,Csc,no,no,2,0,ICON_ADVANCE_ZZ_CONSCRIPTION,ADVANCE_ZZ_CONSCRIPTION_GAMEPLAY,ADVANCE_ZZ_CONSCRIPTION_HISTORICAL,ADVANCE_ZZ_CONSCRIPTION_PREREQ,ADVANCE_ZZ_CONSCRIPTION_STATISTICS,ADVANCE_ZZ_CONSCRIPTION_PREREQ
18,Buildings Lvl. 2,Cst,Aut,ToG,0,4,ICON_ADVANCE_BUILDINGS_LVL_2,ADVANCE_BUILDINGS_LVL_2_GAMEPLAY,ADVANCE_BUILDINGS_LVL_2_HISTORICAL,ADVANCE_BUILDINGS_LVL_2_PREREQ,ADVANCE_BUILDINGS_LVL_2_STATISTICS,ADVANCE_BUILDINGS_LVL_2_PREREQ
19,Economy Lvl. 7,Cor,Rob,Phy,2,1,ICON_ADVANCE_ECONOMY_LVL_7,ADVANCE_ECONOMY_LVL_7_GAMEPLAY,ADVANCE_ECONOMY_LVL_7_HISTORICAL,ADVANCE_ECONOMY_LVL_7_PREREQ,ADVANCE_ECONOMY_LVL_7_STATISTICS,ADVANCE_ECONOMY_LVL_7_PREREQ
20,Economy Lvl. 1,Cur,nil,nil,0,1,ICON_ADVANCE_ECONOMY_LVL_1,ADVANCE_ECONOMY_LVL_1_GAMEPLAY,ADVANCE_ECONOMY_LVL_1_HISTORICAL,ADVANCE_ECONOMY_LVL_1_PREREQ,ADVANCE_ECONOMY_LVL_1_STATISTICS,ADVANCE_ECONOMY_LVL_1_PREREQ
