cell_index,name,cost,upkeep,prereq,icon
1,Capital (Palace),10,0,Mas,ICON_IMPROVE_CAPITAL_PALACE
2,Barracks,4,1,War,ICON_IMPROVE_BARRACKS
3,Granary,6,1,Aut,ICON_IMPROVE_GRANARY
4,Tavern (Temple),4,1,Cer,ICON_IMPROVE_TAVERN_TEMPLE
5,MarketPlace,8,1,Cur,ICON_IMPROVE_MARKETPLACE
6,Library,8,1,Alp,ICON_IMPROVE_LIBRARY
7,Courthouse,8,1,Tra,ICON_IMPROVE_COURTHOUSE
8,Castle Fortifications (City Walls),8,0,Hor,ICON_IMPROVE_CASTLE_FORTIFICATIONS_CITY_WALLS
9,Waterfall (Aqueduct),8,2,Cst,ICON_IMPROVE_WATERFALL_AQUEDUCT
10,Statue (Bank),12,3,Eco,ICON_IMPROVE_STATUE_BANK
11,Cathedral,12,3,Mas,ICON_IMPROVE_CATHEDRAL
12,Mage Guild (University),16,3,Lit,ICON_IMPROVE_MAGE_GUILD_UNIVERSITY
13,Treehouse (Mass Transit),16,4,Lab,ICON_IMPROVE_TREEHOUSE_MASS_TRANSIT
14,Arena (Colosseum),10,4,The,ICON_IMPROVE_ARENA_COLOSSEUM
15,Foundry (Factory),20,4,San,ICON_IMPROVE_FOUNDRY_FACTORY
16,Upg. Foundry (Manufacturing Plant),32,6,Min,ICON_IMPROVE_UPG_FOUNDRY_MANUFACTURING_PLANT
17,Magic Shield Tower (SDI Defense),20,4,Roc,ICON_IMPROVE_MAGIC_SHIELD_TOWER_SDI_DEFENSE
18,Garbage Heap (Recycling Center),20,2,Rec,ICON_IMPROVE_GARBAGE_HEAP_RECYCLING_CENTER
19,Cave Mine (Power Plant),16,4,MP,ICON_IMPROVE_CAVE_MINE_POWER_PLANT
20,Bridge Dam (Hydro Plant),24,4,MP,ICON_IMPROVE_BRIDGE_DAM_HYDRO_PLANT
21,Storm Energy (Nuclear Plant),16,2,Too,ICON_IMPROVE_STORM_ENERGY_NUCLEAR_PLANT
22,Dungeon Keep (Stock Exchange),16,4,Pot,ICON_IMPROVE_DUNGEON_KEEP_STOCK_EXCHANGE
23,Well (Sewer System),12,2,Bri,ICON_IMPROVE_WELL_SEWER_SYSTEM
24,Farms (Supermarket),8,3,Rec,ICON_IMPROVE_FARMS_SUPERMARKET
25,Stonehenge (Superhighways),20,5,Cor,ICON_IMPROVE_STONEHENGE_SUPERHIGHWAYS
26,Laboratory (Research Lab),16,3,Phy,ICON_IMPROVE_LABORATORY_RESEARCH_LAB
27,Magic Turrets (SAM Missile Battery),10,2,Mas,ICON_IMPROVE_MAGIC_TURRETS_SAM_MISSILE_BATTERY
28,Seaside Turrets (Coastal Fortress),8,1,Rfg,ICON_IMPROVE_SEASIDE_TURRETS_COASTAL_FORTRESS
29,Magic Pyramid (Solar Plant),32,4,Phi,ICON_IMPROVE_MAGIC_PYRAMID_SOLAR_PLANT
30,Harbor,6,1,Map,ICON_IMPROVE_HARBOR
31,Upg. Harbor (Offshore Platform),16,3,Ref,ICON_IMPROVE_UPG_HARBOR_OFFSHORE_PLATFORM
32,Cliff Nest (Airport),16,3,Rad,ICON_IMPROVE_CLIFF_NEST_AIRPORT
33,Captain's Quarters (Police Station),6,2,MP,ICON_IMPROVE_CAPTAINS_QUARTERS_POLICE_STATION
34,Port Facility,8,3,Med,ICON_IMPROVE_PORT_FACILITY
35,Azure Dragon Capture,8,0,Too,ICON_IMPROVE_AZURE_DRAGON_CAPTURE
36,Azure Dragon Breeding,16,0,Too,ICON_IMPROVE_AZURE_DRAGON_BREEDING
37,Azure Dragon Training,32,0,Too,ICON_IMPROVE_AZURE_DRAGON_TRAINING
