civ2_index,civ2_tribe_name,civ2_leader_male,civ2_leader_female,civ2_type,ctp2_civ_id,ctp2_is_new,parchment,city_style,personality_male,personality_female,emissary_photo,nation_flag,notes
1,Wizards,Roland Ironfist,Kalindra,civ2_leader,,,,,,,,,
2,Necromancers,Sandro,Charity,civ2_leader,,,,,,,,,
3,Warlocks,Archibald Ironfist,Roxana,civ2_leader,,,,,,,,,
4,Knights,Sir Gallant,Ruby,civ2_leader,,,,,,,,,
5,Sorcerers,Falagar,Luna,civ2_leader,,,,,,,,,
6,Barbarians,Crag Hack,Jezebel,civ2_leader,,,,,,,,,
7,Neutrals,Lord Halton,Drakonia,civ2_leader,,,,,,,,,
8,Wizards,Flint,Myra,civ2_leader,,,,,,,,,
9,Necromancers,Zam,Celia,civ2_leader,,,,,,,,,
10,Warlocks,Vesper,Martine,civ2_leader,,,,,,,,,
11,Knights,Ambrose,Gwenneth,civ2_leader,,,,,,,,,
12,Sorcerers,Kastore,Gem,civ2_leader,,,,,,,,,
13,Barbarians,Ergon,Jaclyn,civ2_leader,,,,,,,,,
14,Neutrals,Rialdo,Fadlan,civ2_leader,,,,,,,,,
15,Wizards,Mandigal,Dawn,civ2_leader,,,,,,,,,
16,Necromancers,Zom,Darlana,civ2_leader,,,,,,,,,
17,Warlocks,Joseph,Myrini,civ2_leader,,,,,,,,,
18,Knights,Lord Kilburn,Maximus,civ2_leader,,,,,,,,,
19,Sorcerers,Ector,Troyan,civ2_leader,,,,,,,,,
20,Barbarians,Jojosh,Halon,civ2_leader,,,,,,,,,
21,Neutrals,Jarkonas,Eliza,civ2_leader,,,,,,,,,
22,Arab,Saladin,,civ2_leader,,,,,,,,,
23,Inca,Atawallpa,,civ2_leader,,,,,,,,,
