cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Wizard Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_WIZARD_HERO_SETTLER,SPRITE_WIZARD_HERO_SETTLER,SOUND_SELECT1_WIZARD_HERO_SETTLER,SOUND_MOVE_WIZARD_HERO_SETTLER,SOUND_ATTACK_WIZARD_HERO_SETTLER
1,Halfling,0,1,1a,1d,1h,2f,1,nil,ICON_UNIT_HALFLING,SPRITE_HALFLING,SOUND_SELECT1_HALFLING,SOUND_MOVE_HALFLING,SOUND_ATTACK_HALFLING
2,Neutral Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_NEUTRAL_HERO_SETTLER,SPRITE_NEUTRAL_HERO_SETTLER,SOUND_SELECT1_NEUTRAL_HERO_SETTLER,SOUND_MOVE_NEUTRAL_HERO_SETTLER,SOUND_ATTACK_NEUTRAL_HERO_SETTLER
3,Knight Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_KNIGHT_HERO_SETTLER,SPRITE_KNIGHT_HERO_SETTLER,SOUND_SELECT1_KNIGHT_HERO_SETTLER,SOUND_MOVE_KNIGHT_HERO_SETTLER,SOUND_ATTACK_KNIGHT_HERO_SETTLER
4,Peasant,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_PEASANT,SPRITE_PEASANT,SOUND_SELECT1_PEASANT,SOUND_MOVE_PEASANT,SOUND_ATTACK_PEASANT
5,Water/Air Elementals,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_WATERAIR_ELEMENTALS,SPRITE_WATERAIR_ELEMENTALS,SOUND_SELECT1_WATERAIR_ELEMENTALS,SOUND_MOVE_WATERAIR_ELEMENTALS,SOUND_ATTACK_WATERAIR_ELEMENTALS
6,Sorceress Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_SORCERESS_HERO_SETTLER,SPRITE_SORCERESS_HERO_SETTLER,SOUND_SELECT1_SORCERESS_HERO_SETTLER,SOUND_MOVE_SORCERESS_HERO_SETTLER,SOUND_ATTACK_SORCERESS_HERO_SETTLER
7,Nomad,0,2,2a,1d,1h,1f,2,ToG,ICON_UNIT_NOMAD,SPRITE_NOMAD,SOUND_SELECT1_NOMAD,SOUND_MOVE_NOMAD,SOUND_ATTACK_NOMAD
8,Earth/Fire Elementals,0,1,1a,2d,2h,1f,3,Ast,ICON_UNIT_EARTHFIRE_ELEMENTALS,SPRITE_EARTHFIRE_ELEMENTALS,SOUND_SELECT1_EARTHFIRE_ELEMENTALS,SOUND_MOVE_EARTHFIRE_ELEMENTALS,SOUND_ATTACK_EARTHFIRE_ELEMENTALS
9,Ghost,0,1,4a,2d,1h,1f,4,ToG,ICON_UNIT_GHOST,SPRITE_GHOST,SOUND_SELECT1_GHOST,SOUND_MOVE_GHOST,SOUND_ATTACK_GHOST
10,Necromancer Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_NECROMANCER_HERO_SETTLER,SPRITE_NECROMANCER_HERO_SETTLER,SOUND_SELECT1_NECROMANCER_HERO_SETTLER,SOUND_MOVE_NECROMANCER_HERO_SETTLER,SOUND_ATTACK_NECROMANCER_HERO_SETTLER
11,Skeleton,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_SKELETON,SPRITE_SKELETON,SOUND_SELECT1_SKELETON,SOUND_MOVE_SKELETON,SOUND_ATTACK_SKELETON
12,Warlock Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_WARLOCK_HERO_SETTLER,SPRITE_WARLOCK_HERO_SETTLER,SOUND_SELECT1_WARLOCK_HERO_SETTLER,SOUND_MOVE_WARLOCK_HERO_SETTLER,SOUND_ATTACK_WARLOCK_HERO_SETTLER
13,Barbarian Hero (Settler),0,1,1a,1d,2h,2f,4,nil,ICON_UNIT_BARBARIAN_HERO_SETTLER,SPRITE_BARBARIAN_HERO_SETTLER,SOUND_SELECT1_BARBARIAN_HERO_SETTLER,SOUND_MOVE_BARBARIAN_HERO_SETTLER,SOUND_ATTACK_BARBARIAN_HERO_SETTLER
14,Centaur,0,1,1a,1d,1h,2f,1,nil,ICON_UNIT_CENTAUR,SPRITE_CENTAUR,SOUND_SELECT1_CENTAUR,SOUND_MOVE_CENTAUR,SOUND_ATTACK_CENTAUR
15,Medusa,0,1,3a,2d,1h,2f,5,Plu,ICON_UNIT_MEDUSA,SPRITE_MEDUSA,SOUND_SELECT1_MEDUSA,SOUND_MOVE_MEDUSA,SOUND_ATTACK_MEDUSA
16,Faerie Sprite,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_FAERIE_SPRITE,SPRITE_FAERIE_SPRITE,SOUND_SELECT1_FAERIE_SPRITE,SOUND_MOVE_FAERIE_SPRITE,SOUND_ATTACK_FAERIE_SPRITE
17,Goblin,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_GOBLIN,SPRITE_GOBLIN,SOUND_SELECT1_GOBLIN,SOUND_MOVE_GOBLIN,SOUND_ATTACK_GOBLIN
18,Dwarf,0,1,2a,1d,2h,1f,2,ToG,ICON_UNIT_DWARF,SPRITE_DWARF,SOUND_SELECT1_DWARF,SOUND_MOVE_DWARF,SOUND_ATTACK_DWARF
19,Gargoyle,0,1,2a,1d,2h,1f,2,ToG,ICON_UNIT_GARGOYLE,SPRITE_GARGOYLE,SOUND_SELECT1_GARGOYLE,SOUND_MOVE_GARGOYLE,SOUND_ATTACK_GARGOYLE
20,Red Dragon,0,1,4a,2d,2h,2f,99,no,ICON_UNIT_RED_DRAGON,SPRITE_RED_DRAGON,SOUND_SELECT1_RED_DRAGON,SOUND_MOVE_RED_DRAGON,SOUND_ATTACK_RED_DRAGON
