cell_index,name,cost,upkeep,prereq,expiry
38,(Trade Goods) (Capitalization),60,0,Rob,nil
39,Enchanted Hourglass (Pyramids),20,0,Cst,nil
40,Medal of Honor (Hanging Gardens),20,0,CoL,nil
41,Endless Purse of Gold (Colossus),20,0,Tra,nil
42,Sailor's Astrolabe of Mobility (Lighthouse),20,0,Nav,nil
43,Minor Scroll of Knowledge (Great Library),30,0,no,nil
44,Ankh (Oracle),30,0,Mys,nil
45,Cloud Castle (Great Wall),30,0,Hor,nil
46,Blood Lust Spell (Sun Tzu's War Academy),30,0,Whe,nil
47,View Ressources Spell (King Richard's Crusade),30,0,Bri,nil
48,View Heroes Spell (Marco Polo's Embassy),20,0,Mon,nil
49,Mass Bless Spell (Michelangelo's Chapel),40,0,Mas,nil
50,Telescope (Copernicus' Observatory),30,0,Inv,nil
51,True Compass of Mobility (Magellan's Exp),40,0,NP,nil
52,Gambler's Lucky Coin (Shakespeare's Theatre),30,0,MT,nil
53,Summon Elements (Leonardo's Workshop),40,0,no,nil
54,Golden Horseshoe (J. S. Bach's Cathedral),40,0,Med,nil
55,Foremost Scroll of Knowledge (Isaac Newton's C),40,0,Lit,nil
56,Endless Sack of Gold (Adam Smith's Trading Co.),40,0,Rob,nil
57,Ultimate Book of Knowledge (Darwin's Voyage),30,0,Phi,nil
58,Stateman's Quill (Statue of Liberty),40,0,Gue,nil
59,Wizard's Hat (Eiffel Tower),30,0,Dem,nil
60,Four-Leaf Clover (Women's Suffrage),60,0,Cor,nil
61,Book of Elements (Hoover Dam),60,0,Too,nil
62,Armageddon Spell (Manhattan Project),60,0,NF,nil
63,Hypnotise Spell (United Nations),60,0,Fun,nil
64,Eagle Eye Skill (Apollo Program),60,0,Phy,nil
65,Arcane Necklace of Knowledge (SETI Program),60,0,Che,nil
66,Cure Spell (Cure for Cancer),60,0,MP,:               0 = Ground
