cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,Radar,ADVANCE_RADAR,ADVANCE_ELECTRICITY,ADVANCE_NAVAL_AVIATION,5,0,ICON_ADVANCE_RADAR,ADVANCE_RADAR_GAMEPLAY,ADVANCE_RADAR_HISTORICAL,ADVANCE_RADAR_PREREQ,ADVANCE_RADAR_STATISTICS,ADVANCE_RADAR_STATISTICS
1,Cybernetics,ADVANCE_CYBERNETICS,ADVANCE_EUGENICS,ADVANCE_NEURAL_INTERFACE,7,0,ICON_ADVANCE_CYBERNETICS,ADVANCE_CYBERNETICS_GAMEPLAY,ADVANCE_CYBERNETICS_HISTORICAL,ADVANCE_CYBERNETICS_PREREQ,ADVANCE_CYBERNETICS_STATISTICS,ADVANCE_CYBERNETICS_STATISTICS
2,Dwarves,ADVANCE_DWARVES,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_DWARVES_GAMEPLAY,ADVANCE_DWARVES_HISTORICAL,ADVANCE_DWARVES_PREREQ,ADVANCE_DWARVES_STATISTICS,ADVANCE_DWARVES_STATISTICS
3,Elves,ADVANCE_ELVES,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ELVES_GAMEPLAY,ADVANCE_ELVES_HISTORICAL,ADVANCE_ELVES_PREREQ,ADVANCE_ELVES_STATISTICS,ADVANCE_ELVES_STATISTICS
4,Hobbits,ADVANCE_HOBBITS,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_HOBBITS_GAMEPLAY,ADVANCE_HOBBITS_HISTORICAL,ADVANCE_HOBBITS_PREREQ,ADVANCE_HOBBITS_STATISTICS,ADVANCE_HOBBITS_STATISTICS
5,Men,ADVANCE_MEN,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_MEN_GAMEPLAY,ADVANCE_MEN_HISTORICAL,ADVANCE_MEN_PREREQ,ADVANCE_MEN_STATISTICS,ADVANCE_MEN_STATISTICS
6,Orcs,ADVANCE_ORCS,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ORCS_GAMEPLAY,ADVANCE_ORCS_HISTORICAL,ADVANCE_ORCS_PREREQ,ADVANCE_ORCS_STATISTICS,ADVANCE_ORCS_STATISTICS
7,Good,ADVANCE_GOOD,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_GOOD_GAMEPLAY,ADVANCE_GOOD_HISTORICAL,ADVANCE_GOOD_PREREQ,ADVANCE_GOOD_STATISTICS,ADVANCE_GOOD_STATISTICS
8,Evil,ADVANCE_EVIL,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_EVIL_GAMEPLAY,ADVANCE_EVIL_HISTORICAL,ADVANCE_EVIL_PREREQ,ADVANCE_EVIL_STATISTICS,ADVANCE_EVIL_STATISTICS
9,Angmar,ADVANCE_ANGMAR,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ANGMAR_GAMEPLAY,ADVANCE_ANGMAR_HISTORICAL,ADVANCE_ANGMAR_PREREQ,ADVANCE_ANGMAR_STATISTICS,ADVANCE_ANGMAR_STATISTICS
10,Arnor,ADVANCE_ARNOR,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ARNOR_GAMEPLAY,ADVANCE_ARNOR_HISTORICAL,ADVANCE_ARNOR_PREREQ,ADVANCE_ARNOR_STATISTICS,ADVANCE_ARNOR_STATISTICS
11,Easterling,ADVANCE_EASTERLING,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_EASTERLING_GAMEPLAY,ADVANCE_EASTERLING_HISTORICAL,ADVANCE_EASTERLING_PREREQ,ADVANCE_EASTERLING_STATISTICS,ADVANCE_EASTERLING_STATISTICS
12,Gondor,ADVANCE_GONDOR,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_GONDOR_GAMEPLAY,ADVANCE_GONDOR_HISTORICAL,ADVANCE_GONDOR_PREREQ,ADVANCE_GONDOR_STATISTICS,ADVANCE_GONDOR_STATISTICS
13,Haradrim,ADVANCE_HARADRIM,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_HARADRIM_GAMEPLAY,ADVANCE_HARADRIM_HISTORICAL,ADVANCE_HARADRIM_PREREQ,ADVANCE_HARADRIM_STATISTICS,ADVANCE_HARADRIM_STATISTICS
14,Isengard,ADVANCE_ISENGARD,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ISENGARD_GAMEPLAY,ADVANCE_ISENGARD_HISTORICAL,ADVANCE_ISENGARD_PREREQ,ADVANCE_ISENGARD_STATISTICS,ADVANCE_ISENGARD_STATISTICS
15,Mordor,ADVANCE_MORDOR,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_MORDOR_GAMEPLAY,ADVANCE_MORDOR_HISTORICAL,ADVANCE_MORDOR_PREREQ,ADVANCE_MORDOR_STATISTICS,ADVANCE_MORDOR_STATISTICS
16,Northmen,ADVANCE_NORTHMEN,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_NORTHMEN_GAMEPLAY,ADVANCE_NORTHMEN_HISTORICAL,ADVANCE_NORTHMEN_PREREQ,ADVANCE_NORTHMEN_STATISTICS,ADVANCE_NORTHMEN_STATISTICS
17,Rohan,ADVANCE_ROHAN,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_ROHAN_GAMEPLAY,ADVANCE_ROHAN_HISTORICAL,ADVANCE_ROHAN_PREREQ,ADVANCE_ROHAN_STATISTICS,ADVANCE_ROHAN_STATISTICS
18,Sindar,ADVANCE_SINDAR,ADVANCE_GAIA_CONTROLLER,nil,2,0,ICON_ADVANCE_HEXTAPUL,ADVANCE_SINDAR_GAMEPLAY,ADVANCE_SINDAR_HISTORICAL,ADVANCE_SINDAR_PREREQ,ADVANCE_SINDAR_STATISTICS,ADVANCE_SINDAR_STATISTICS
19,Agriculture,ADVANCE_AGRICULTURE,nil,nil,0,0,ICON_ADVANCE_AGRICULTURE,ADVANCE_AGRICULTURE_GAMEPLAY,ADVANCE_AGRICULTURE_HISTORICAL,ADVANCE_AGRICULTURE_PREREQ,ADVANCE_AGRICULTURE_STATISTICS,ADVANCE_AGRICULTURE_STATISTICS
20,Alchemy,ADVANCE_ALCHEMY,ADVANCE_COSMOLOGY,ADVANCE_BALLISTICS,1,0,ICON_ADVANCE_ALCHEMY,ADVANCE_ALCHEMY_GAMEPLAY,ADVANCE_ALCHEMY_HISTORICAL,ADVANCE_ALCHEMY_PREREQ,ADVANCE_ALCHEMY_STATISTICS,ADVANCE_ALCHEMY_STATISTICS
21,Alchemy Haradrim,ADVANCE_ALCHEMY_HARADRIM,ADVANCE_ALCHEMY,ADVANCE_HARADRIM,1,0,ICON_ADVANCE_ALCHEMY_HARADRIM,ADVANCE_ALCHEMY_HARADRIM_GAMEPLAY,ADVANCE_ALCHEMY_HARADRIM_HISTORICAL,ADVANCE_ALCHEMY_HARADRIM_PREREQ,ADVANCE_ALCHEMY_HARADRIM_STATISTICS,ADVANCE_ALCHEMY_HARADRIM_STATISTICS
22,Applied Math,ADVANCE_APPLIED_MATH,ADVANCE_ASTRONOMY,nil,0,0,ICON_ADVANCE_APPLIED_MATH,ADVANCE_APPLIED_MATH_GAMEPLAY,ADVANCE_APPLIED_MATH_HISTORICAL,ADVANCE_APPLIED_MATH_PREREQ,ADVANCE_APPLIED_MATH_STATISTICS,ADVANCE_APPLIED_MATH_STATISTICS
