cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,H Angmar,0,1,14a,14d,25h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_H_ANGMAR,SPRITE_H_ANGMAR,SOUND_SELECT1_H_ANGMAR,SOUND_MOVE_H_ANGMAR,SOUND_ATTACK_H_ANGMAR
1,Angmar H1,0,3,5a,5d,15h,1f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ANGMAR_H1,SPRITE_ANGMAR_H1,SOUND_SELECT1_ANGMAR_H1,SOUND_MOVE_ANGMAR_H1,SOUND_ATTACK_ANGMAR_H1
2,Angmar H2,0,3,6a,6d,15h,1f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ANGMAR_H2,SPRITE_ANGMAR_H2,SOUND_SELECT1_ANGMAR_H2,SOUND_MOVE_ANGMAR_H2,SOUND_ATTACK_ANGMAR_H2
3,Angmar H3,0,3,8a,7d,15h,1f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ANGMAR_H3,SPRITE_ANGMAR_H3,SOUND_SELECT1_ANGMAR_H3,SOUND_MOVE_ANGMAR_H3,SOUND_ATTACK_ANGMAR_H3
4,Angmar H4,0,3,9a,9d,18h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ANGMAR_H4,SPRITE_ANGMAR_H4,SOUND_SELECT1_ANGMAR_H4,SOUND_MOVE_ANGMAR_H4,SOUND_ATTACK_ANGMAR_H4
5,H Arnor,0,1,14a,14d,25h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_H_ARNOR,SPRITE_H_ARNOR,SOUND_SELECT1_H_ARNOR,SOUND_MOVE_H_ARNOR,SOUND_ATTACK_H_ARNOR
6,Arnor H1,0,2,5a,5d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ARNOR_H1,SPRITE_ARNOR_H1,SOUND_SELECT1_ARNOR_H1,SOUND_MOVE_ARNOR_H1,SOUND_ATTACK_ARNOR_H1
7,Arnor H2,0,2,6a,6d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ARNOR_H2,SPRITE_ARNOR_H2,SOUND_SELECT1_ARNOR_H2,SOUND_MOVE_ARNOR_H2,SOUND_ATTACK_ARNOR_H2
8,Arnor H3,0,2,7a,7d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_ARNOR_H3,SPRITE_ARNOR_H3,SOUND_SELECT1_ARNOR_H3,SOUND_MOVE_ARNOR_H3,SOUND_ATTACK_ARNOR_H3
9,Arnor H4,0,3,11a,11d,20h,2f,18,ADVANCE_HEXTAPUL,ICON_UNIT_ARNOR_H4,SPRITE_ARNOR_H4,SOUND_SELECT1_ARNOR_H4,SOUND_MOVE_ARNOR_H4,SOUND_ATTACK_ARNOR_H4
10,H Dwarves,0,1,12a,12d,25h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_H_DWARVES,SPRITE_H_DWARVES,SOUND_SELECT1_H_DWARVES,SOUND_MOVE_H_DWARVES,SOUND_ATTACK_H_DWARVES
11,Dwarves H1,0,1,4a,4d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_DWARVES_H1,SPRITE_DWARVES_H1,SOUND_SELECT1_DWARVES_H1,SOUND_MOVE_DWARVES_H1,SOUND_ATTACK_DWARVES_H1
12,Dwarves H2,0,1,7a,7d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_DWARVES_H2,SPRITE_DWARVES_H2,SOUND_SELECT1_DWARVES_H2,SOUND_MOVE_DWARVES_H2,SOUND_ATTACK_DWARVES_H2
13,Dwarves H3,0,1,8a,8d,20h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_DWARVES_H3,SPRITE_DWARVES_H3,SOUND_SELECT1_DWARVES_H3,SOUND_MOVE_DWARVES_H3,SOUND_ATTACK_DWARVES_H3
14,Dwarves H4,0,3,10a,10d,20h,2f,15,ADVANCE_HEXTAPUL,ICON_UNIT_DWARVES_H4,SPRITE_DWARVES_H4,SOUND_SELECT1_DWARVES_H4,SOUND_MOVE_DWARVES_H4,SOUND_ATTACK_DWARVES_H4
15,H Easterling,0,1,10a,10d,25h,2f,10,ADVANCE_HEXTAPUL,ICON_UNIT_H_EASTERLING,SPRITE_H_EASTERLING,SOUND_SELECT1_H_EASTERLING,SOUND_MOVE_H_EASTERLING,SOUND_ATTACK_H_EASTERLING
16,Easterling H1,0,3,5a,6d,15h,1f,10,ADVANCE_HEXTAPUL,ICON_UNIT_EASTERLING_H1,SPRITE_EASTERLING_H1,SOUND_SELECT1_EASTERLING_H1,SOUND_MOVE_EASTERLING_H1,SOUND_ATTACK_EASTERLING_H1
17,Easterling H2,0,3,7a,8d,15h,1f,10,ADVANCE_HEXTAPUL,ICON_UNIT_EASTERLING_H2,SPRITE_EASTERLING_H2,SOUND_SELECT1_EASTERLING_H2,SOUND_MOVE_EASTERLING_H2,SOUND_ATTACK_EASTERLING_H2
18,Easterling H3,0,3,9a,9d,15h,2f,12,ADVANCE_HEXTAPUL,ICON_UNIT_EASTERLING_H3,SPRITE_EASTERLING_H3,SOUND_SELECT1_EASTERLING_H3,SOUND_MOVE_EASTERLING_H3,SOUND_ATTACK_EASTERLING_H3
