cell_index,name,code,prereq1,prereq2,epoch,category,icon,gameplay_str,historical_str,prereq_str,vari_str,stattext_str
0,Thor's Eloquence,AFl,Rad,Too,1,4,ICON_ADVANCE_THORS_ELOQUENCE,ADVANCE_THORS_ELOQUENCE_GAMEPLAY,ADVANCE_THORS_ELOQUENCE_HISTORICAL,ADVANCE_THORS_ELOQUENCE_PREREQ,ADVANCE_THORS_ELOQUENCE_STATISTICS,ADVANCE_THORS_ELOQUENCE_PREREQ
1,Writing,Alp,nil,nil,1,3,ICON_ADVANCE_WRITING,ADVANCE_WRITING_GAMEPLAY,ADVANCE_WRITING_HISTORICAL,ADVANCE_WRITING_PREREQ,ADVANCE_WRITING_STATISTICS,ADVANCE_WRITING_PREREQ
2,Sea Raids,Amp,Nav,Tac,1,0,ICON_ADVANCE_SEA_RAIDS,ADVANCE_SEA_RAIDS_GAMEPLAY,ADVANCE_SEA_RAIDS_HISTORICAL,ADVANCE_SEA_RAIDS_PREREQ,ADVANCE_SEA_RAIDS_STATISTICS,ADVANCE_SEA_RAIDS_PREREQ
3,Astrology,Ast,Mys,Mat,1,3,ICON_ADVANCE_ASTROLOGY,ADVANCE_ASTROLOGY_GAMEPLAY,ADVANCE_ASTROLOGY_HISTORICAL,ADVANCE_ASTROLOGY_PREREQ,ADVANCE_ASTROLOGY_STATISTICS,ADVANCE_ASTROLOGY_PREREQ
4,Witchcraft,Ato,ToG,Phy,1,3,ICON_ADVANCE_WITCHCRAFT,ADVANCE_WITCHCRAFT_GAMEPLAY,ADVANCE_WITCHCRAFT_HISTORICAL,ADVANCE_WITCHCRAFT_PREREQ,ADVANCE_WITCHCRAFT_STATISTICS,ADVANCE_WITCHCRAFT_PREREQ
5,Gaea's Gift,Aut,Cmb,Stl,1,4,ICON_ADVANCE_GAEAS_GIFT,ADVANCE_GAEAS_GIFT_GAMEPLAY,ADVANCE_GAEAS_GIFT_HISTORICAL,ADVANCE_GAEAS_GIFT_PREREQ,ADVANCE_GAEAS_GIFT_STATISTICS,ADVANCE_GAEAS_GIFT_PREREQ
6,Banking,Ban,Tra,Rep,1,1,ICON_ADVANCE_BANKING,ADVANCE_BANKING_GAMEPLAY,ADVANCE_BANKING_HISTORICAL,ADVANCE_BANKING_PREREQ,ADVANCE_BANKING_STATISTICS,ADVANCE_BANKING_PREREQ
7,Bridge Building,Bri,Iro,Cst,0,4,ICON_ADVANCE_BRIDGE_BUILDING,ADVANCE_BRIDGE_BUILDING_GAMEPLAY,ADVANCE_BRIDGE_BUILDING_HISTORICAL,ADVANCE_BRIDGE_BUILDING_PREREQ,ADVANCE_BRIDGE_BUILDING_STATISTICS,ADVANCE_BRIDGE_BUILDING_PREREQ
8,Bronze Working,Bro,nil,nil,0,4,ICON_ADVANCE_BRONZE_WORKING,ADVANCE_BRONZE_WORKING_GAMEPLAY,ADVANCE_BRONZE_WORKING_HISTORICAL,ADVANCE_BRONZE_WORKING_PREREQ,ADVANCE_BRONZE_WORKING_STATISTICS,ADVANCE_BRONZE_WORKING_PREREQ
9,Ceremonial Burial,Cer,nil,nil,0,2,ICON_ADVANCE_CEREMONIAL_BURIAL,ADVANCE_CEREMONIAL_BURIAL_GAMEPLAY,ADVANCE_CEREMONIAL_BURIAL_HISTORICAL,ADVANCE_CEREMONIAL_BURIAL_PREREQ,ADVANCE_CEREMONIAL_BURIAL_STATISTICS,ADVANCE_CEREMONIAL_BURIAL_PREREQ
10,Alchemy,Che 10,Uni,Med,1,3,ICON_ADVANCE_ALCHEMY,ADVANCE_ALCHEMY_GAMEPLAY,ADVANCE_ALCHEMY_HISTORICAL,ADVANCE_ALCHEMY_PREREQ,ADVANCE_ALCHEMY_STATISTICS,ADVANCE_ALCHEMY_PREREQ
11,Chivalry,Chi,Feu,Hor,1,0,ICON_ADVANCE_CHIVALRY,ADVANCE_CHIVALRY_GAMEPLAY,ADVANCE_CHIVALRY_HISTORICAL,ADVANCE_CHIVALRY_PREREQ,ADVANCE_CHIVALRY_STATISTICS,ADVANCE_CHIVALRY_PREREQ
12,King's Law,CoL,Alp,nil,0,2,ICON_ADVANCE_KINGS_LAW,ADVANCE_KINGS_LAW_GAMEPLAY,ADVANCE_KINGS_LAW_HISTORICAL,ADVANCE_KINGS_LAW_PREREQ,ADVANCE_KINGS_LAW_STATISTICS,ADVANCE_KINGS_LAW_PREREQ
13,Feat of Arms,CA,Mob,AFl,1,0,ICON_ADVANCE_FEAT_OF_ARMS,ADVANCE_FEAT_OF_ARMS_GAMEPLAY,ADVANCE_FEAT_OF_ARMS_HISTORICAL,ADVANCE_FEAT_OF_ARMS_PREREQ,ADVANCE_FEAT_OF_ARMS_STATISTICS,ADVANCE_FEAT_OF_ARMS_PREREQ
