cell_index,name,cost,upkeep,prereq,icon
1,Keep,10,0,Mas,ICON_IMPROVE_KEEP
2,Barracks,4,1,War,ICON_IMPROVE_BARRACKS
3,Storehouse,6,1,Pot,ICON_IMPROVE_STOREHOUSE
4,Temple,4,1,Cer,ICON_IMPROVE_TEMPLE
5,Bazaar,8,1,Cur,ICON_IMPROVE_BAZAAR
6,Library,8,1,Wri,ICON_IMPROVE_LIBRARY
7,Castle,8,1,CoL,ICON_IMPROVE_CASTLE
8,City Walls,8,0,Mas,ICON_IMPROVE_CITY_WALLS
9,Aqueduct,8,2,Cst,ICON_IMPROVE_AQUEDUCT
10,Counting House,12,3,Ban,ICON_IMPROVE_COUNTING_HOUSE
11,Wizard's Tower,12,3,MT,ICON_IMPROVE_WIZARDS_TOWER
12,Thaumaturgical Guild,16,3,Uni,ICON_IMPROVE_THAUMATURGICAL_GUILD
13,Twenty League Boots,16,4,MP,ICON_IMPROVE_TWENTY_LEAGUE_BOOTS
14,Arena,10,4,Cst,ICON_IMPROVE_ARENA
15,Crafts Guild,20,4,Ind,ICON_IMPROVE_CRAFTS_GUILD
16,Artificer Guild,32,6,Rob,ICON_IMPROVE_ARTIFICER_GUILD
17,Fireball Shield,20,4,Las,ICON_IMPROVE_FIREBALL_SHIELD
18,Bottomless Well,20,2,Rec,ICON_IMPROVE_BOTTOMLESS_WELL
19,Staff of Power,16,4,Ref,ICON_IMPROVE_STAFF_OF_POWER
20,Alchemical Plant,24,4,E2,ICON_IMPROVE_ALCHEMICAL_PLANT
21,Mining of Hel,16,2,NP,ICON_IMPROVE_MINING_OF_HEL
22,Toll House,16,4,Eco,ICON_IMPROVE_TOLL_HOUSE
23,Catacombs,12,2,San,ICON_IMPROVE_CATACOMBS
24,Dragon's Teeth,8,3,U3,ICON_IMPROVE_DRAGONS_TEETH
25,Magic Rivers,20,5,Aut,ICON_IMPROVE_MAGIC_RIVERS
26,Alchemy Laboratory,16,3,Cmp,ICON_IMPROVE_ALCHEMY_LABORATORY
27,Magic Shield,10,2,Roc,ICON_IMPROVE_MAGIC_SHIELD
28,Harbor Guardian,8,1,Met,ICON_IMPROVE_HARBOR_GUARDIAN
29,Magical Gems,32,4,Env,ICON_IMPROVE_MAGICAL_GEMS
30,Harbor,6,1,Sea,ICON_IMPROVE_HARBOR
31,Temple of Aegir,16,3,Min,ICON_IMPROVE_TEMPLE_OF_AEGIR
32,Astral Portal,16,3,Rad,ICON_IMPROVE_ASTRAL_PORTAL
33,Guardhouse,6,2,Gue,ICON_IMPROVE_GUARDHOUSE
34,Sea Fortress,8,3,no,ICON_IMPROVE_SEA_FORTRESS
35,SS Structural,8,0,no,ICON_IMPROVE_SS_STRUCTURAL
36,SS Component,16,0,no,ICON_IMPROVE_SS_COMPONENT
37,SS Module,32,0,no,ICON_IMPROVE_SS_MODULE
