civ2_index,civ2_tribe_name,civ2_leader_male,civ2_leader_female,civ2_type,ctp2_civ_id,ctp2_is_new,parchment,city_style,personality_male,personality_female,emissary_photo,nation_flag,notes
1,Buteons,Lleu II,Peregrine II,civ2_leader,,,,,,,,,
2,Elves,Galadrien II,Estella II,civ2_leader,,,,,,,,,
3,Merfolk,Aegir II,Reanne II,civ2_leader,,,,,,,,,
4,Stygians,Pluto II,Tendril II,civ2_leader,,,,,,,,,
5,Goblins,Org II,Yma II- mate of Org,civ2_leader,,,,,,,,,
6,Humans,Godwyn II,Godwyna II,civ2_leader,,,,,,,,,
7,Infidels,Octobai II,Bortei II,civ2_leader,,,,,,,,,
8,Buteons,Lleu III,Peregrine III,civ2_leader,,,,,,,,,
9,Elves,Galadrien,Estella,civ2_leader,,,,,,,,,
10,Merfolk,Aegir III,Reanne III,civ2_leader,,,,,,,,,
11,Stygians,Pluto,Tendril,civ2_leader,,,,,,,,,
12,Goblins,Org,Yma - mate of Org,civ2_leader,,,,,,,,,
13,Humans,Godwyn,Godwyna,civ2_leader,,,,,,,,,
14,Infidels,Octobai,Bortei,civ2_leader,,,,,,,,,
15,Buteons,Lleu,Peregrine,civ2_leader,,,,,,,,,
16,Elves,Galadrien III,Estella III,civ2_leader,,,,,,,,,
17,Merfolk,Aegir,Reanne,civ2_leader,,,,,,,,,
18,Stygians,Pluto III,Tendril III,civ2_leader,,,,,,,,,
19,Goblins,Org III,Jewel III,civ2_leader,,,,,,,,,
20,Humans,Godwyn III,Godwyna III,civ2_leader,,,,,,,,,
21,Infidels,Octobai III,Bortei III,civ2_leader,,,,,,,,,
22,Arab,Saladin,,civ2_leader,,,,,,,,,
23,Inca,Atawallpa,,civ2_leader,,,,,,,,,
