cell_index,name,domain,move,attack,defense,hp,firepower,cost,prereq,icon,sprite,sound_select1,sound_move,sound_attack
0,Settlers,0,1,0a,1d,1h,1f,4,nil,ICON_UNIT_SETTLERS,SPRITE_SETTLERS,SOUND_SELECT1_SETTLERS,SOUND_MOVE_SETTLERS,SOUND_ATTACK_SETTLERS
1,Sorcerer,1,4,6a,3d,1h,2f,4,Exp,ICON_UNIT_SORCERER,SPRITE_SORCERER,SOUND_SELECT1_SORCERER,SOUND_MOVE_SORCERER,SOUND_ATTACK_SORCERER
2,H. Warriors,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_H_WARRIORS,SPRITE_H_WARRIORS,SOUND_SELECT1_H_WARRIORS,SOUND_MOVE_H_WARRIORS,SOUND_ATTACK_H_WARRIORS
3,Mermen,0,2,1a,1d,1h,1f,1,nil,ICON_UNIT_MERMEN,SPRITE_MERMEN,SOUND_SELECT1_MERMEN,SOUND_MOVE_MERMEN,SOUND_ATTACK_MERMEN
4,Hawkmen,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_HAWKMEN,SPRITE_HAWKMEN,SOUND_SELECT1_HAWKMEN,SOUND_MOVE_HAWKMEN,SOUND_ATTACK_HAWKMEN
5,Elf Warriors,0,1,1a,1d,1h,2f,2,nil,ICON_UNIT_ELF_WARRIORS,SPRITE_ELF_WARRIORS,SOUND_SELECT1_ELF_WARRIORS,SOUND_MOVE_ELF_WARRIORS,SOUND_ATTACK_ELF_WARRIORS
6,Infidels,0,1,2a,1d,1h,1f,1,nil,ICON_UNIT_INFIDELS,SPRITE_INFIDELS,SOUND_SELECT1_INFIDELS,SOUND_MOVE_INFIDELS,SOUND_ATTACK_INFIDELS
7,Goblins,0,1,1a,1d,1h,1f,1,nil,ICON_UNIT_GOBLINS,SPRITE_GOBLINS,SOUND_SELECT1_GOBLINS,SOUND_MOVE_GOBLINS,SOUND_ATTACK_GOBLINS
8,Dwarves,0,1,3a,3d,2h,1f,2,Fun,ICON_UNIT_DWARVES,SPRITE_DWARVES,SOUND_SELECT1_DWARVES,SOUND_MOVE_DWARVES,SOUND_ATTACK_DWARVES
9,Elf Archers,0,1,2a,2d,1h,2f,3,Iro,ICON_UNIT_ELF_ARCHERS,SPRITE_ELF_ARCHERS,SOUND_SELECT1_ELF_ARCHERS,SOUND_MOVE_ELF_ARCHERS,SOUND_ATTACK_ELF_ARCHERS
10,Trolls,0,1,2a,3d,2h,1f,2,Iro,ICON_UNIT_TROLLS,SPRITE_TROLLS,SOUND_SELECT1_TROLLS,SOUND_MOVE_TROLLS,SOUND_ATTACK_TROLLS
11,Housecarls,0,1,2a,2d,2h,1f,3,Iro,ICON_UNIT_HOUSECARLS,SPRITE_HOUSECARLS,SOUND_SELECT1_HOUSECARLS,SOUND_MOVE_HOUSECARLS,SOUND_ATTACK_HOUSECARLS
12,Merguards,0,2,2a,2d,2h,1f,3,Sea,ICON_UNIT_MERGUARDS,SPRITE_MERGUARDS,SOUND_SELECT1_MERGUARDS,SOUND_MOVE_MERGUARDS,SOUND_ATTACK_MERGUARDS
13,Eaglemen,0,1,3a,2d,1h,1f,2,Iro,ICON_UNIT_EAGLEMEN,SPRITE_EAGLEMEN,SOUND_SELECT1_EAGLEMEN,SOUND_MOVE_EAGLEMEN,SOUND_ATTACK_EAGLEMEN
