cell_index,name,cost,upkeep,prereq,expiry
38,(Capitalization),60,0,no,U2
39,Cauldron of Plenty,20,0,Mas,Ind
40,Golden Orchard,20,0,Pot,Rad
41,Sacred Menhir,15,0,Bro,Mag
42,Eye of Ran,20,0,Map,E2
43,Arthur's Palimpsest,30,0,Lit,The
44,Silver Fairy Bough,30,0,Mys,Met
45,Magic Sword,30,0,Mas,Mob
46,Round Table,30,0,Feu,U2
47,Wizards' Conclave,30,0,Che,Gue
48,Huginn and Muninn,20,0,Tra,U2
49,Brisingamin,40,0,MT,U2
50,Astrological Observatory,30,0,Ast,U2
51,Brian's Expedition,40,0,Nav,U2
52,The Niebelungenlied,30,0,Med,U2
53,Hammer of Power,40,0,Inv,U2
54,Stonehenge,40,0,The,U2
55,Cauldron of Inspiration,40,0,ToG,U2
56,Philosophers' Stone,40,0,Eco,U2
57,Voyage to the Underworld,40,0,RR,U2
58,Orb of Peace,40,0,Dem,U2
59,Mead of Friendship,30,0,SE,U2
60,Silken Thread,60,0,Ind,U2
61,Magic Wand,60,0,E2,U2
62,Fireball Spell,60,0,NF,U2
63,Ring of Fealty,60,0,Ind,no
64,Apollo Program,60,0,SFl,U2
65,Sangreal,60,0,Cmp,U2
66,Golden Orangerie,60,0,Gen,:               0 = Ground
